Município,2013,2014,2015,2016,2017
Goianésia do Pará (PA),267.741,318.026,324.651,374.417,373.555
Gurupá (PA),163.913,181.608,197.032,201.129,230.596
Igarapé-Açu (PA),269.984,271.389,298.323,334.255,304.516
Igarapé-Miri (PA),374.543,411.410,374.547,353.216,376.753
Inhangapi (PA),90.811,86.399,95.257,112.443,114.682
Ipixuna do Pará (PA),471.202,487.403,436.248,485.041,541.030
Irituia (PA),162.191,175.420,204.242,219.643,217.124
Itaituba (PA),1.165.927,1.433.058,1.601.843,1.597.707,1.770.962
Itupiranga (PA),381.965,424.197,453.461,511.523,560.443
Jacareacanga (PA),159.487,177.849,202.240,238.484,327.691
Jacundá (PA),377.070,415.245,458.521,489.836,489.217
Juruti (PA),868.722,905.205,768.414,941.366,1.046.267
Limoeiro do Ajuru (PA),392.544,354.747,404.797,394.987,453.594
Mãe do Rio (PA),235.996,264.507,276.718,283.984,293.012
Magalhães Barata (PA),59.449,55.540,59.783,64.732,75.316
Marabá (PA),5.739.901,6.313.839,7.305.741,7.487.235,8.599.354
Maracanã (PA),169.509,181.176,186.807,205.831,219.106
Marapanim (PA),156.194,185.495,185.508,213.396,221.402
Marituba (PA),1.112.651,1.418.283,1.592.877,1.732.438,1.788.121
Medicilândia (PA),318.026,502.350,624.718,566.204,580.793
Melgaço (PA),124.602,134.299,140.741,170.140,169.796
Mocajuba (PA),224.102,220.289,253.839,278.415,306.536
Moju (PA),657.367,651.287,741.243,869.136,892.534
Mojuí dos Campos (PA),213.045,228.694,125.707,137.561,155.209
Monte Alegre (PA),555.744,563.756,612.761,682.044,690.213
Muaná (PA),235.348,212.886,232.487,233.425,259.935
Nova Esperança do Piriá (PA),167.053,148.127,179.038,181.541,215.609
Nova Ipixuna (PA),101.321,111.438,133.679,134.878,136.995
Nova Timboteua (PA),90.210,95.587,100.631,114.442,122.891
Novo Progresso (PA),355.426,424.552,467.114,561.084,608.458
Novo Repartimento (PA),592.580,657.498,736.960,823.582,839.946
Óbidos (PA),522.300,477.445,533.829,613.189,624.557
Oeiras do Pará (PA),286.546,285.441,359.088,491.096,431.765
Oriximiná (PA),1.524.677,1.409.485,1.722.278,1.814.316,1.701.190
Ourém (PA),159.882,151.520,156.196,176.918,187.883
Ourilândia do Norte (PA),431.090,819.443,504.260,542.320,540.548
Pacajá (PA),341.269,378.513,433.942,510.233,580.576
Palestina do Pará (PA),46.089,47.595,53.301,63.936,66.032
Paragominas (PA),1.749.020,2.019.305,2.394.332,2.667.465,2.950.442
Parauapebas (PA),20.198.715,15.561.713,11.184.354,12.645.409,18.439.322
Pau D'Arco (PA),53.562,58.159,73.398,86.909,74.387
Peixe-Boi (PA),64.775,41.753,48.552,60.462,52.915
Piçarra (PA),137.234,155.514,180.801,200.705,200.788
Placas (PA),160.850,221.670,235.473,260.906,255.862
Ponta de Pedras (PA),152.436,164.939,187.380,208.199,212.571
Portel (PA),456.736,439.885,446.246,682.972,648.015
Porto de Moz (PA),226.304,202.864,218.556,240.017,295.945
Prainha (PA),229.100,218.863,226.131,275.833,302.521
Primavera (PA),70.680,63.930,81.542,120.321,149.269
Quatipuru (PA),71.116,70.659,75.765,84.625,90.640
Redenção (PA),1.096.384,1.317.862,1.467.916,1.645.578,1.700.741
Rio Maria (PA),266.214,304.399,360.821,407.471,476.846
Rondon do Pará (PA),394.626,469.637,481.472,518.442,520.484
Rurópolis (PA),229.974,256.946,287.612,341.999,359.162
Salinópolis (PA),277.429,309.296,348.010,414.191,425.035
Salvaterra (PA),113.111,122.809,143.257,151.543,165.814
Santa Bárbara do Pará (PA),102.605,122.116,132.624,146.746,165.777
Santa Cruz do Arari (PA),50.839,53.013,61.148,63.800,68.177
Santa Izabel do Pará (PA),506.488,552.910,609.611,630.492,718.745
Santa Luzia do Pará (PA),112.233,125.055,138.283,144.186,164.124
Santa Maria das Barreiras (PA),195.215,201.980,250.099,297.680,375.755
Santa Maria do Pará (PA),283.608,233.693,203.834,268.294,310.568
Santana do Araguaia (PA),515.231,590.433,686.482,762.198,803.619
Santarém (PA),3.433.607,3.785.536,3.970.093,4.574.029,4.835.996
Santarém Novo (PA),39.090,38.573,39.878,47.275,41.026
Santo Antônio do Tauá (PA),189.069,247.494,297.319,315.291,344.070
São Caetano de Odivelas (PA),106.262,106.421,114.215,119.022,131.227
São Domingos do Araguaia (PA),160.958,177.494,220.134,251.103,272.450
São Domingos do Capim (PA),267.101,229.971,247.892,315.599,309.229
São Félix do Xingu (PA),879.870,1.029.712,1.212.882,1.414.834,1.392.878
São Francisco do Pará (PA),181.684,168.388,165.795,193.474,204.146
São Geraldo do Araguaia (PA),246.521,290.862,312.905,379.311,441.677
São João da Ponta (PA),29.906,35.327,37.866,39.629,42.207
São João de Pirabas (PA),121.857,127.633,131.343,146.869,158.977
São João do Araguaia (PA),89.686,91.686,104.666,109.837,116.992
São Miguel do Guamá (PA),587.290,557.171,560.272,661.640,668.061
São Sebastião da Boa Vista (PA),153.981,164.857,169.416,176.914,206.893
Sapucaia (PA),74.711,80.247,89.659,96.808,108.012
Senador José Porfírio (PA),95.153,98.045,113.430,119.237,126.968
Soure (PA),135.446,146.652,165.410,179.866,175.016
Tailândia (PA),620.710,744.110,789.823,874.419,846.793
Terra Alta (PA),63.335,57.009,63.158,68.169,71.819
Terra Santa (PA),304.290,399.837,484.668,458.707,527.426
Tomé-Açu (PA),469.054,515.999,557.048,643.689,639.412
Tracuateua (PA),181.179,187.888,187.974,231.943,248.331
Trairão (PA),201.240,212.127,226.746,310.251,329.448
Tucumã (PA),463.405,566.191,664.104,717.362,757.450
Tucuruí (PA),3.655.059,2.950.660,4.409.818,4.356.154,6.461.838
Ulianópolis (PA),1.345.826,1.210.198,1.336.059,1.305.409,1.245.238
Uruará (PA),361.319,465.811,499.254,504.096,511.969
Vigia (PA),279.435,321.842,352.008,365.883,373.305
Viseu (PA),430.260,413.310,434.230,664.390,613.446
Vitória do Xingu (PA),373.869,451.839,805.867,966.759,3.088.937
Xinguara (PA),710.788,858.796,1.075.410,1.157.432,1.218.114
Serra do Navio (AP),54.042,53.869,60.383,64.407,70.831
Amapá (AP),134.479,166.809,131.867,144.316,166.941
Pedra Branca do Amapari (AP),356.398,290.399,288.571,297.385,281.064
Calçoene (AP),142.502,121.551,136.608,146.676,146.932
Cutias (AP),58.181,59.556,64.196,68.380,72.796
Ferreira Gomes (AP),155.000,190.916,351.803,347.367,500.103
Itaubal (AP),47.989,49.264,57.149,64.691,65.752
Laranjal do Jari (AP),541.838,559.759,531.997,791.145,850.713
Macapá (AP),8.279.310,8.882.333,9.126.377,9.337.264,9.996.021
Mazagão (AP),214.913,207.104,204.408,228.382,244.725
Oiapoque (AP),288.112,283.458,305.452,345.547,394.531
Porto Grande (AP),267.558,273.181,295.789,315.378,332.009
Pracuúba (AP),57.776,58.148,56.518,61.190,62.942
Santana (AP),1.819.411,1.883.653,1.936.602,1.758.527,1.910.086
Tartarugalzinho (AP),194.912,163.100,165.606,186.856,202.010
Vitória do Jari (AP),151.064,157.186,147.967,184.625,184.453
Abreulândia (TO),26.613,27.178,37.328,47.386,56.479
Aguiarnópolis (TO),107.771,87.868,109.236,134.499,127.038
Aliança do Tocantins (TO),63.294,64.887,73.158,94.295,116.126
Almas (TO),93.826,107.424,119.955,125.463,151.376
Alvorada (TO),218.020,227.896,231.814,270.766,331.677
Ananás (TO),85.113,86.109,89.900,108.842,124.894
Angico (TO),28.697,30.646,40.468,44.036,35.480
Aparecida do Rio Negro (TO),59.320,72.660,71.286,73.533,91.452
Aragominas (TO),49.741,53.289,58.663,63.895,63.243
Araguacema (TO),58.672,68.914,74.800,94.605,133.138
Araguaçu (TO),121.562,138.334,158.036,181.290,186.488
Araguaína (TO),2.887.139,3.038.315,3.442.013,3.799.312,4.140.528
Araguanã (TO),50.347,52.971,58.972,66.875,64.696
Araguatins (TO),286.238,304.914,329.820,376.397,390.779
