Município,2013,2014,2015,2016,2017
Crisólita (MG),41.893,46.042,48.112,53.462,55.269
Cristais (MG),125.125,137.394,160.896,212.024,194.594
Cristália (MG),58.167,41.523,37.566,40.609,43.398
Cristiano Otoni (MG),76.002,83.921,88.548,82.512,77.088
Cristina (MG),123.601,149.124,144.779,164.943,181.659
Crucilândia (MG),47.723,50.939,53.672,58.785,53.757
Cruzeiro da Fortaleza (MG),62.052,72.184,76.308,91.776,92.901
Cruzília (MG),161.947,177.917,195.750,219.278,220.129
Cuparaque (MG),36.340,41.436,45.984,43.530,51.354
Curral de Dentro (MG),51.885,55.145,57.527,60.773,57.236
Curvelo (MG),1.220.268,1.235.272,1.369.859,1.353.336,1.480.736
Datas (MG),45.261,46.930,47.497,50.928,47.615
Delfim Moreira (MG),65.847,81.219,84.133,88.264,95.131
Delfinópolis (MG),122.599,133.815,132.213,168.306,161.809
Delta (MG),285.507,260.426,305.105,322.596,346.266
Descoberto (MG),51.779,51.319,52.337,59.448,72.832
Desterro de Entre Rios (MG),53.508,57.968,64.930,101.647,118.760
Desterro do Melo (MG),29.254,31.526,33.697,34.966,34.797
Diamantina (MG),563.269,603.264,666.660,711.924,725.770
Diogo de Vasconcelos (MG),25.162,25.374,29.803,33.880,30.884
Dionísio (MG),56.391,61.423,66.084,69.052,76.346
Divinésia (MG),36.778,37.738,35.348,41.621,44.427
Divino (MG),171.696,195.740,226.942,237.308,225.689
Divino das Laranjeiras (MG),38.084,37.884,42.246,48.042,47.511
Divinolândia de Minas (MG),48.365,46.747,51.572,52.867,58.379
Divinópolis (MG),4.958.091,5.301.634,5.483.763,5.639.111,6.038.548
Divisa Alegre (MG),64.629,72.388,68.678,89.818,123.853
Divisa Nova (MG),61.034,65.315,74.113,88.875,92.557
Divisópolis (MG),53.083,59.690,57.891,65.351,68.903
Dom Bosco (MG),39.152,42.049,45.793,50.803,51.114
Dom Cavati (MG),36.425,46.636,48.177,52.566,54.518
Dom Joaquim (MG),40.246,43.453,40.669,43.238,43.140
Dom Silvério (MG),62.648,69.670,72.945,79.472,82.715
Dom Viçoso (MG),23.218,24.941,26.311,29.906,30.418
Dona Euzébia (MG),52.157,54.874,67.325,73.352,85.014
Dores de Campos (MG),174.295,192.778,215.933,223.435,271.181
Dores de Guanhães (MG),66.108,67.510,97.376,110.139,110.397
Dores do Indaiá (MG),169.891,183.838,191.122,212.012,212.167
Dores do Turvo (MG),38.770,43.200,38.719,42.711,45.608
Doresópolis (MG),26.550,41.864,52.507,55.011,61.548
Douradoquara (MG),41.052,44.820,49.252,49.592,49.720
Durandé (MG),65.502,76.994,83.470,100.246,86.004
Elói Mendes (MG),334.161,467.722,456.882,554.663,596.972
Engenheiro Caldas (MG),90.297,103.327,107.399,108.443,108.083
Engenheiro Navarro (MG),58.290,60.469,65.433,72.183,70.561
Entre Folhas (MG),37.499,43.068,44.864,50.076,49.943
Entre Rios de Minas (MG),133.278,155.392,162.488,184.616,180.640
Ervália (MG),230.948,264.141,273.504,319.279,276.886
Esmeraldas (MG),476.803,525.013,584.582,661.063,676.083
Espera Feliz (MG),278.337,324.206,405.848,426.950,395.690
Espinosa (MG),221.355,220.614,261.660,276.055,274.250
Espírito Santo do Dourado (MG),52.966,61.643,71.293,84.058,71.599
Estiva (MG),197.055,210.890,229.208,259.695,240.910
Estrela Dalva (MG),22.533,24.575,26.576,30.363,31.256
Estrela do Indaiá (MG),76.238,80.879,84.564,98.142,95.453
Estrela do Sul (MG),493.593,413.131,122.552,345.437,382.046
Eugenópolis (MG),111.907,123.894,132.946,142.257,153.812
Ewbank da Câmara (MG),34.126,37.186,37.610,38.313,39.854
Extrema (MG),4.083.946,4.842.921,5.086.205,6.176.442,7.527.681
Fama (MG),29.102,29.966,35.712,39.672,40.812
Faria Lemos (MG),36.938,42.369,46.185,48.687,53.458
Felício dos Santos (MG),36.504,36.178,39.468,43.840,43.113
São Gonçalo do Rio Preto (MG),24.427,25.999,27.226,29.295,32.427
Felisburgo (MG),46.295,50.935,55.881,58.826,57.825
Felixlândia (MG),339.140,247.697,251.717,258.994,209.563
Fernandes Tourinho (MG),26.615,30.289,31.885,32.958,39.131
Ferros (MG),95.508,105.614,101.191,109.111,110.638
Fervedouro (MG),87.379,93.240,106.778,106.723,103.788
Florestal (MG),74.468,93.917,101.191,105.324,110.075
Formiga (MG),1.167.138,1.293.587,1.336.714,1.485.511,1.619.685
Formoso (MG),151.894,164.283,161.155,177.876,154.429
Fortaleza de Minas (MG),98.183,99.117,93.873,99.213,67.188
Fortuna de Minas (MG),33.403,34.075,32.940,34.336,36.240
Francisco Badaró (MG),48.851,56.539,60.488,63.217,65.934
Francisco Dumont (MG),31.494,39.828,42.979,46.068,58.752
Francisco Sá (MG),305.789,311.952,299.148,372.930,302.678
Franciscópolis (MG),47.639,55.556,55.831,68.002,71.285
Frei Gaspar (MG),43.759,45.458,50.593,55.179,52.811
Frei Inocêncio (MG),82.586,94.657,84.452,95.824,93.086
Frei Lagonegro (MG),22.300,23.757,25.375,27.753,33.557
Fronteira (MG),529.976,405.672,671.490,1.116.605,1.057.966
Fronteira dos Vales (MG),27.813,28.663,31.752,34.977,35.781
Fruta de Leite (MG),32.381,34.296,35.356,37.432,38.703
Frutal (MG),1.228.954,1.388.668,1.411.955,1.625.456,1.842.353
Funilândia (MG),39.343,42.240,46.824,49.913,51.674
Galiléia (MG),62.071,71.603,78.223,72.374,83.025
Gameleiras (MG),33.845,34.374,37.420,40.803,39.049
Glaucilândia (MG),21.196,23.459,25.144,26.207,27.283
Goiabeira (MG),27.002,28.231,31.535,32.885,36.710
Goianá (MG),37.947,45.181,47.567,57.862,58.057
Gonçalves (MG),45.288,48.220,50.603,57.156,59.378
Gonzaga (MG),36.794,41.765,42.237,45.948,48.236
Gouveia (MG),126.533,126.340,136.031,139.890,129.207
Governador Valadares (MG),4.585.400,5.029.289,5.435.820,5.663.968,5.887.859
Grão Mogol (MG),283.465,340.698,319.315,278.251,285.748
Grupiara (MG),22.076,22.677,23.554,26.447,27.288
Guanhães (MG),503.618,542.735,584.927,608.869,617.677
Guapé (MG),160.371,179.330,198.099,237.155,242.778
Guaraciaba (MG),62.477,70.429,74.708,83.563,85.963
Guaraciama (MG),48.541,32.939,37.014,38.851,39.092
Guaranésia (MG),356.000,402.361,329.421,373.487,431.590
Guarani (MG),105.979,101.254,120.990,126.338,120.116
Guarará (MG),36.269,38.943,36.475,43.728,46.503
Guarda-Mor (MG),247.312,287.753,268.973,337.674,339.187
Guaxupé (MG),1.545.994,1.819.553,2.084.445,1.851.279,1.914.487
Guidoval (MG),86.369,110.124,99.098,95.858,100.876
Guimarânia (MG),96.342,109.229,122.362,145.218,143.587
Guiricema (MG),75.987,82.030,86.388,92.372,93.261
Gurinhatã (MG),90.062,104.950,108.258,125.258,130.291
Heliodora (MG),68.221,73.617,83.368,97.997,91.418
Iapu (MG),70.437,86.886,94.079,99.864,100.494
Ibertioga (MG),48.265,53.640,55.395,59.133,65.087
Ibiá (MG),747.347,736.562,778.455,893.608,918.417
Ibiaí (MG),57.838,67.927,65.314,72.701,65.975
Ibiracatu (MG),32.534,35.795,38.436,39.754,42.359
Ibiraci (MG),329.663,432.748,400.106,616.789,624.818
Ibirité (MG),1.667.620,1.870.590,1.939.293,1.997.109,2.170.421
Ibitiúra de Minas (MG),37.161,48.693,47.006,51.623,49.060
Ibituruna (MG),31.536,35.763,32.971,37.709,36.473
Icaraí de Minas (MG),58.402,62.657,69.823,75.186,76.096
Igarapé (MG),1.095.721,846.453,627.706,673.938,648.054
Igaratinga (MG),136.904,147.853,166.659,321.782,339.788
Iguatama (MG),315.182,321.703,335.572,354.679,321.894
Ijaci (MG),375.787,394.861,339.748,336.579,334.945
Ilicínea (MG),123.208,139.699,152.818,195.418,183.540
Imbé de Minas (MG),42.382,51.170,54.911,57.585,60.412
Inconfidentes (MG),68.963,73.114,79.832,96.184,95.102
Indaiabira (MG),49.758,55.046,58.512,58.184,54.935
Indianópolis (MG),464.940,393.597,671.493,587.218,438.090
Ingaí (MG),47.039,52.699,55.415,52.382,58.468
Inhapim (MG),208.968,236.357,258.025,290.109,290.539
Inhaúma (MG),80.263,89.130,82.401,95.497,99.797
Inimutaba (MG),62.828,55.792,63.327,85.744,79.708
Ipaba (MG),104.950,113.113,124.904,132.785,147.649
Ipanema (MG),185.160,204.956,202.536,214.962,230.053
Ipatinga (MG),9.526.045,9.136.830,8.481.491,8.480.350,9.666.655
Ipiaçu (MG),59.896,61.528,73.416,83.132,97.497
Ipuiúna (MG),145.246,122.961,134.026,168.023,132.856
Iraí de Minas (MG),183.371,190.176,176.536,213.941,213.342
Itabira (MG),6.187.543,5.641.990,3.798.890,3.726.627,5.223.193
Itabirinha (MG),74.260,74.910,87.158,100.597,97.933
Itabirito (MG),4.026.449,3.741.144,2.920.127,2.787.558,3.940.439
Itacambira (MG),71.160,59.560,53.926,58.166,58.058
Itacarambi (MG),154.161,170.590,176.328,183.981,189.326
Itaguara (MG),178.279,199.612,215.090,234.706,268.123
Itaipé (MG),70.261,76.921,88.504,87.181,86.368
Itajubá (MG),2.409.881,2.672.407,2.716.197,2.643.851,3.010.403
Itamarandiba (MG),291.546,418.994,492.893,361.078,403.732
Itamarati de Minas (MG),76.557,61.180,45.588,45.142,56.509
Itambacuri (MG),215.288,207.444,234.701,260.550,259.491
Itambé do Mato Dentro (MG),19.419,20.914,22.649,23.720,25.766
Itamogi (MG),115.579,153.215,151.426,203.996,169.730
Itamonte (MG),546.271,620.140,606.749,722.190,722.943
Itanhandu (MG),345.831,383.366,360.567,403.307,420.657
Itanhomi (MG),87.651,100.003,107.420,110.993,113.449
Itaobim (MG),200.766,244.366,288.071,259.992,255.053
Itapagipe (MG),339.610,380.459,360.772,387.688,454.962
Itapecerica (MG),340.052,375.293,399.107,430.117,463.374
Itapeva (MG),212.977,351.884,229.719,244.602,302.883
Itatiaiuçu (MG),1.682.497,1.840.468,741.168,772.634,960.661
Itaú de Minas (MG),613.235,613.956,510.475,486.722,509.321
Itaúna (MG),2.408.444,2.499.009,2.466.328,2.620.157,3.029.964
Itaverava (MG),42.324,42.998,50.345,54.499,48.336
Itinga (MG),93.631,114.446,117.650,122.364,122.229
Itueta (MG),56.196,64.511,75.674,77.328,81.333
Ituiutaba (MG),2.548.879,2.666.713,2.744.948,2.868.378,2.895.871
Itumirim (MG),44.705,48.004,53.168,61.036,61.545
Iturama (MG),1.774.187,1.533.344,1.825.273,1.986.558,1.725.983
Itutinga (MG),73.630,57.179,81.339,100.008,83.550
Jaboticatubas (MG),150.578,171.103,185.427,199.424,205.297
Jacinto (MG),77.968,83.152,94.404,100.544,101.966
Jacuí (MG),81.365,93.347,95.008,113.420,109.689
Jacutinga (MG),412.148,445.457,502.494,500.152,633.788
Jaguaraçu (MG),52.500,59.757,62.331,61.886,64.958
Jaíba (MG),402.994,431.770,470.533,522.283,555.254
Jampruca (MG),42.540,45.642,46.843,51.706,54.502
Janaúba (MG),725.688,846.812,967.457,1.025.152,1.096.826
Januária (MG),509.465,556.625,594.901,636.624,676.308
Japaraíba (MG),49.416,54.176,59.195,58.922,68.416
Japonvar (MG),51.584,52.051,53.919,57.291,57.654
Jeceaba (MG),580.182,722.109,614.210,593.465,770.515
Jenipapo de Minas (MG),36.441,41.788,45.584,46.282,69.760
Jequeri (MG),104.484,134.642,134.956,152.825,145.473
Jequitaí (MG),70.579,69.387,70.546,74.788,78.647
Jequitibá (MG),83.422,86.073,89.473,104.134,89.202
Jequitinhonha (MG),157.848,188.598,208.737,238.419,225.098
Jesuânia (MG),44.338,50.247,51.506,66.442,64.401
Joaíma (MG),91.713,103.459,113.743,124.722,131.819
Joanésia (MG),49.108,48.747,82.221,88.152,77.144
João Monlevade (MG),2.186.452,2.374.713,2.339.499,2.318.455,2.590.756
João Pinheiro (MG),957.820,1.077.534,1.177.576,1.333.217,1.462.034
Joaquim Felício (MG),46.210,43.708,44.425,43.382,40.378
Jordânia (MG),64.179,70.658,75.729,82.825,82.015
José Gonçalves de Minas (MG),29.146,33.431,34.335,35.080,44.991
José Raydan (MG),42.235,42.519,40.798,50.758,54.606
Josenópolis (MG),33.629,27.811,39.315,38.226,36.223
Nova União (MG),50.461,62.233,62.660,67.869,82.164
Juatuba (MG),902.246,1.018.529,1.130.250,1.087.403,1.202.317
Juiz de Fora (MG),13.196.898,13.955.698,14.436.472,14.524.863,15.990.009
Juramento (MG),69.459,34.481,39.611,39.458,36.755
Juruaia (MG),113.809,148.073,154.156,177.371,164.669
Juvenília (MG),38.700,41.844,44.589,49.777,50.146
Ladainha (MG),85.668,92.439,101.644,110.051,113.162
Lagamar (MG),130.564,134.556,136.182,162.145,262.615
Lagoa da Prata (MG),1.111.375,1.295.164,1.340.940,1.377.436,1.631.758
Lagoa dos Patos (MG),35.373,36.845,39.193,43.048,44.678
Lagoa Dourada (MG),130.800,135.987,151.638,231.690,202.055
Lagoa Formosa (MG),228.559,258.090,286.427,338.130,333.814
Lagoa Grande (MG),167.802,176.966,181.949,207.290,227.765
Lagoa Santa (MG),1.418.298,1.664.265,1.665.738,1.965.707,1.661.191
Lajinha (MG),243.098,242.327,281.387,319.146,313.283
Lambari (MG),236.161,278.060,290.274,333.262,333.523
Lamim (MG),27.636,31.455,32.839,36.418,40.216
Laranjal (MG),61.237,61.667,65.940,71.820,75.712
Lassance (MG),103.168,115.327,99.769,90.986,111.960
Lavras (MG),2.059.196,2.096.118,2.102.443,2.273.631,2.486.306
Leandro Ferreira (MG),34.326,35.413,35.981,39.886,38.517
Leme do Prado (MG),32.984,34.383,41.000,46.458,50.546
Leopoldina (MG),808.255,891.587,974.908,981.167,1.038.955
Liberdade (MG),59.963,60.416,69.987,75.606,81.900
Lima Duarte (MG),205.924,221.899,219.658,248.687,250.861
Limeira do Oeste (MG),223.713,208.522,278.546,312.043,342.568
Lontra (MG),45.342,50.488,53.835,58.892,65.128
Luisburgo (MG),47.620,65.727,70.883,72.965,81.967
Luislândia (MG),38.386,41.319,45.029,50.087,48.543
Luminárias (MG),50.418,55.585,61.518,74.761,102.201
Luz (MG),379.510,419.677,432.027,429.815,487.070
Machacalis (MG),60.248,55.159,61.619,73.354,74.521
Machado (MG),763.287,764.474,855.183,941.546,962.260
Madre de Deus de Minas (MG),90.403,92.295,110.706,182.256,156.661
Malacacheta (MG),143.241,165.065,179.542,191.158,181.490
Mamonas (MG),33.269,36.092,39.721,46.599,47.993
Manga (MG),145.976,175.123,189.683,205.958,187.800
Manhuaçu (MG),1.638.603,1.812.033,1.956.063,2.076.764,2.386.664
Manhumirim (MG),305.305,368.217,415.233,424.702,448.202
Mantena (MG),294.526,319.121,349.070,360.249,376.868
Maravilhas (MG),113.589,112.599,93.594,112.711,115.234
Mar de Espanha (MG),123.681,134.251,144.788,152.365,170.449
Maria da Fé (MG),115.865,130.150,144.971,151.309,157.653
Mariana (MG),6.613.176,5.008.449,3.254.653,2.229.558,2.899.109
Marilac (MG),33.667,36.548,37.916,39.596,42.057
Mário Campos (MG),124.380,141.139,146.315,154.615,154.911
Maripá de Minas (MG),42.678,42.261,43.658,47.992,57.643
Marliéria (MG),31.297,34.451,37.714,38.920,39.495
Marmelópolis (MG),24.919,27.828,27.577,28.867,30.952
Martinho Campos (MG),204.825,239.810,253.705,299.485,320.819
Martins Soares (MG),81.237,101.369,117.093,133.884,135.902
Mata Verde (MG),45.584,49.043,52.953,58.889,62.619
Materlândia (MG),33.107,37.111,38.305,44.158,44.127
Mateus Leme (MG),562.910,553.358,535.844,570.348,692.535
Matias Barbosa (MG),498.801,507.442,504.419,575.198,505.432
Matias Cardoso (MG),120.382,124.039,126.349,143.836,132.262
Matipó (MG),280.203,244.555,367.803,398.873,241.024
Mato Verde (MG),90.082,100.729,103.559,113.785,119.946
Matozinhos (MG),890.007,983.428,969.570,936.632,1.003.673
Matutina (MG),62.950,56.571,61.069,65.216,63.001
Medeiros (MG),99.184,100.651,105.047,144.951,120.499
Medina (MG),186.186,189.580,207.680,210.622,215.514
Mendes Pimentel (MG),46.192,47.678,50.457,57.210,56.106
Mercês (MG),89.594,96.074,102.235,113.395,115.991
Mesquita (MG),33.770,38.252,43.516,44.235,45.476
Minas Novas (MG),204.478,256.491,283.550,250.743,251.498
Minduri (MG),50.709,57.239,69.025,81.139,70.615
Mirabela (MG),90.368,94.567,105.425,113.160,122.795
Miradouro (MG),97.782,109.823,122.246,132.724,130.089
Miraí (MG),224.062,197.298,219.636,174.731,242.606
Miravânia (MG),26.897,29.756,31.573,32.383,36.847
Moeda (MG),49.424,54.827,49.262,55.657,59.013
Moema (MG),71.093,76.361,81.870,97.930,106.939
Monjolos (MG),24.695,26.807,28.186,32.776,41.289
Monsenhor Paulo (MG),167.051,184.076,178.545,205.071,195.527
Montalvânia (MG),98.374,110.403,118.687,125.707,126.213
Monte Alegre de Minas (MG),425.775,502.565,507.729,576.364,551.193
Monte Azul (MG),145.823,162.396,172.109,183.748,190.658
Monte Belo (MG),184.496,201.884,215.363,255.840,282.956
Monte Carmelo (MG),1.102.782,1.271.372,1.119.160,1.038.071,1.091.727
Monte Formoso (MG),22.635,25.988,28.514,31.668,32.087
Monte Santo de Minas (MG),319.378,342.323,366.348,436.493,357.422
Montes Claros (MG),7.042.716,7.802.685,8.011.232,8.770.319,8.967.797
Monte Sião (MG),304.004,336.942,397.907,404.347,413.101
Montezuma (MG),43.515,50.611,56.688,50.835,60.269
Morada Nova de Minas (MG),166.309,175.042,211.026,257.625,272.361
Morro da Garça (MG),47.577,47.670,149.608,168.819,47.264
Morro do Pilar (MG),35.040,32.562,31.394,30.353,32.574
Munhoz (MG),49.440,53.887,64.512,79.012,88.032
Muriaé (MG),1.741.040,1.831.990,1.892.370,2.037.368,2.100.497
Mutum (MG),255.345,290.915,299.714,342.879,374.290
Muzambinho (MG),310.905,371.744,396.288,458.337,415.086
Nacip Raydan (MG),23.276,26.628,27.732,29.430,27.006
Nanuque (MG),543.709,575.137,637.851,644.480,644.021
Naque (MG),50.736,59.478,65.621,67.733,68.615
Natalândia (MG),35.797,38.664,40.651,47.391,43.839
Natércia (MG),52.798,56.379,67.156,82.519,67.921
Nazareno (MG),196.969,210.516,219.393,246.903,208.793
Nepomuceno (MG),322.171,373.620,395.681,471.766,444.299
Ninheira (MG),53.944,59.195,71.115,74.750,75.958
Nova Belém (MG),32.977,41.751,52.955,58.437,37.655
Nova Era (MG),329.055,374.922,324.849,309.797,321.599
Nova Lima (MG),9.564.345,9.156.051,7.288.510,7.848.285,9.117.141
Nova Módica (MG),33.611,36.769,39.309,40.750,42.533
Nova Ponte (MG),667.475,678.753,850.930,841.543,772.973
Nova Porteirinha (MG),88.586,79.134,90.893,117.669,104.542
Nova Resende (MG),185.418,249.107,274.618,277.346,296.597
Nova Serrana (MG),1.644.361,1.838.090,1.915.877,2.102.148,2.603.063
Novo Cruzeiro (MG),165.358,206.664,206.599,234.216,233.637
Novo Oriente de Minas (MG),54.570,58.843,65.214,74.568,81.944
Novorizonte (MG),33.612,35.884,40.055,44.913,50.754
Olaria (MG),16.592,18.105,20.308,23.794,23.635
Olhos-d'Água (MG),65.382,63.861,84.031,225.188,120.829
Olímpio Noronha (MG),26.576,31.505,34.238,40.683,36.589
Oliveira (MG),647.957,688.218,725.141,777.609,848.146
Oliveira Fortes (MG),22.741,24.928,26.988,30.227,30.147
Onça de Pitangui (MG),39.300,45.616,50.730,49.244,49.110
Oratórios (MG),42.443,43.287,44.070,47.477,53.327
Orizânia (MG),49.471,56.986,61.575,80.184,80.575
Ouro Branco (MG),2.941.250,3.110.242,3.220.454,2.974.421,3.360.517
Ouro Fino (MG),501.749,512.218,570.139,636.457,657.852
Ouro Preto (MG),6.723.758,5.826.798,3.918.346,3.045.880,4.647.154
Ouro Verde de Minas (MG),35.899,40.499,41.527,46.227,46.240
Padre Carvalho (MG),50.209,38.229,56.892,62.929,50.313
Padre Paraíso (MG),110.691,133.780,147.468,158.091,168.937
Paineiras (MG),54.195,51.546,53.118,57.030,59.756
Pains (MG),282.250,282.718,259.662,287.264,311.190
Pai Pedro (MG),33.103,36.332,38.652,41.318,43.445
Paiva (MG),15.904,17.479,18.855,20.071,22.165
Palma (MG),55.213,58.057,58.400,63.334,68.944
Palmópolis (MG),36.819,38.143,44.625,47.245,47.116
Papagaios (MG),196.797,211.646,218.520,226.628,250.221
Paracatu (MG),2.913.028,2.851.633,2.848.098,3.317.454,3.509.504
Pará de Minas (MG),2.175.491,2.340.911,2.378.788,2.489.337,2.745.667
Paraguaçu (MG),344.760,369.544,376.536,502.115,481.617
Paraisópolis (MG),356.837,350.859,374.569,415.833,578.217
Paraopeba (MG),408.471,433.878,443.790,524.283,565.418
Passabém (MG),15.608,18.169,17.866,18.935,19.820
Passa Quatro (MG),273.355,286.768,301.550,315.571,376.241
Passa Tempo (MG),150.558,137.482,137.837,162.193,187.769
Passa Vinte (MG),27.050,29.830,27.728,31.175,32.145
Passos (MG),1.953.703,2.082.528,2.152.572,2.300.042,2.387.556
Patis (MG),33.468,36.135,38.326,43.480,44.517
Patos de Minas (MG),3.130.926,3.510.975,3.810.486,4.195.265,4.378.909
Patrocínio (MG),1.793.248,2.192.815,2.160.227,2.545.724,2.737.824
Patrocínio do Muriaé (MG),79.113,80.275,83.738,70.861,74.361
Paula Cândido (MG),74.335,77.690,83.294,90.060,95.273
Paulistas (MG),34.293,37.021,44.959,46.542,43.964
Pavão (MG),63.536,65.951,66.592,69.917,69.523
Peçanha (MG),164.844,146.336,175.328,174.225,179.174
Pedra Azul (MG),207.572,232.209,223.678,210.337,273.042
Pedra Bonita (MG),47.965,56.886,53.042,72.512,62.333
Pedra do Anta (MG),28.093,30.060,33.244,33.893,48.692
Pedra do Indaiá (MG),51.284,78.761,75.750,82.985,79.388
Pedra Dourada (MG),24.254,27.305,30.003,32.245,34.958
Pedralva (MG),103.404,122.550,123.808,151.727,129.793
Pedras de Maria da Cruz (MG),62.888,67.521,72.879,79.980,84.538
Pedrinópolis (MG),80.620,79.557,88.420,121.124,106.528
Pedro Leopoldo (MG),1.599.991,1.582.456,1.497.084,1.427.215,1.437.510
Pedro Teixeira (MG),18.792,20.305,20.329,22.386,21.377
Pequeri (MG),33.445,37.055,39.783,41.638,42.885
Pequi (MG),50.535,54.336,54.550,56.991,60.366
Perdigão (MG),118.672,133.659,148.518,160.201,214.033
Perdizes (MG),526.157,488.460,509.383,660.958,600.359
Perdões (MG),343.789,361.580,357.668,518.401,478.433
Periquito (MG),73.237,75.013,80.054,81.198,72.610
Pescador (MG),32.710,35.225,38.135,40.976,38.631
Piau (MG),40.168,41.911,54.701,59.477,46.516
Piedade de Caratinga (MG),56.840,70.274,78.642,89.502,88.779
Piedade de Ponte Nova (MG),40.327,42.115,41.875,43.732,49.994
Piedade do Rio Grande (MG),129.242,75.318,66.950,97.244,73.776
Piedade dos Gerais (MG),42.747,44.539,56.757,67.391,62.143
Pimenta (MG),137.018,146.525,154.003,181.911,177.682
Pingo-d'Água (MG),31.755,33.982,35.650,37.480,38.711
Pintópolis (MG),43.894,48.610,53.785,59.132,56.757
Piracema (MG),82.586,87.007,95.805,101.914,105.262
Pirajuba (MG),199.687,198.520,224.941,245.746,308.772
Piranga (MG),118.233,125.529,133.944,152.709,159.805
Piranguçu (MG),42.953,44.588,48.784,55.089,53.587
Piranguinho (MG),74.215,86.291,92.262,97.717,101.907
Pirapetinga (MG),361.845,435.038,425.256,461.284,588.957
Pirapora (MG),1.380.860,1.605.429,1.279.085,1.682.396,1.837.287
Piraúba (MG),113.335,130.224,138.881,151.584,164.069
Pitangui (MG),363.802,401.396,404.689,409.652,509.921
Piumhi (MG),511.642,669.944,705.265,874.512,866.590
Planura (MG),276.900,283.046,383.830,422.102,488.218
Poço Fundo (MG),172.042,196.828,236.084,262.425,259.193
Poços de Caldas (MG),5.850.232,6.461.137,6.504.479,6.123.490,6.366.825
Pocrane (MG),62.659,70.072,77.603,87.137,101.932
Pompéu (MG),504.746,561.807,616.036,675.568,731.803
Ponte Nova (MG),1.133.587,1.293.704,1.389.798,1.484.833,1.649.843
Ponto Chique (MG),30.107,34.322,34.765,38.264,38.234
Ponto dos Volantes (MG),80.040,83.116,84.464,98.515,81.522
Porteirinha (MG),249.611,273.213,300.354,308.808,335.665
Porto Firme (MG),73.293,77.346,85.780,86.990,90.556
Poté (MG),108.954,120.649,125.425,136.270,137.602
Pouso Alegre (MG),5.141.836,5.925.271,6.553.097,6.825.551,7.390.810
Pouso Alto (MG),119.083,110.897,128.617,152.797,220.793
Prados (MG),126.015,115.580,128.076,160.372,152.090
Prata (MG),748.056,812.242,824.339,946.465,928.682
Pratápolis (MG),118.839,141.846,139.022,149.526,137.981
Pratinha (MG),56.665,70.667,71.498,96.529,94.155
Presidente Bernardes (MG),33.495,37.466,39.076,47.193,46.945
Presidente Juscelino (MG),46.882,45.851,43.233,45.796,42.499
Presidente Kubitschek (MG),20.284,22.394,23.651,25.835,27.659
Presidente Olegário (MG),342.260,344.532,357.815,461.586,452.692
Alto Jequitibá (MG),62.822,85.750,109.249,103.867,120.232
Prudente de Morais (MG),126.424,139.568,130.435,132.684,144.569
Quartel Geral (MG),40.372,41.473,41.210,47.593,50.627
Queluzito (MG),19.569,21.929,24.431,27.642,29.149
Raposos (MG),127.925,138.577,140.798,185.502,298.129
Raul Soares (MG),213.818,238.061,261.312,295.505,293.270
Recreio (MG),74.170,82.371,83.535,89.162,98.431
Reduto (MG),60.684,69.918,78.334,85.080,92.600
Resende Costa (MG),105.181,115.020,120.254,156.514,154.881
Resplendor (MG),216.962,231.542,225.755,233.409,221.913
Ressaquinha (MG),134.570,133.763,163.951,181.930,171.694
Riachinho (MG),81.149,80.240,84.971,100.055,90.681
Riacho dos Machados (MG),75.526,171.669,131.685,164.609,205.894
Ribeirão das Neves (MG),2.874.956,3.299.611,3.469.955,3.619.730,3.856.596
Ribeirão Vermelho (MG),85.557,96.330,81.730,100.225,85.733
Rio Acima (MG),203.680,194.200,134.528,136.092,131.655
Rio Casca (MG),158.304,154.335,171.586,178.636,186.960
Rio Doce (MG),25.597,25.046,25.380,29.861,35.979
Rio do Prado (MG),31.388,32.390,38.135,39.370,39.855
Rio Espera (MG),36.403,36.942,39.321,39.219,46.659
Rio Manso (MG),61.025,64.736,69.192,81.571,81.000
Rio Novo (MG),84.347,90.049,100.990,106.898,111.022
Rio Paranaíba (MG),370.730,423.243,465.915,600.565,499.052
Rio Pardo de Minas (MG),215.317,235.136,220.610,252.567,259.982
Rio Piracicaba (MG),628.425,584.343,354.818,382.761,511.167
Rio Pomba (MG),218.448,245.745,270.680,290.137,300.535
Rio Preto (MG),49.249,50.784,54.563,56.579,55.122
Rio Vermelho (MG),87.089,92.630,103.567,111.633,112.780
Ritápolis (MG),43.670,47.632,53.264,61.676,69.118
Rochedo de Minas (MG),22.374,22.546,22.917,25.346,25.830
Rodeiro (MG),296.742,359.378,279.970,369.888,409.843
Romaria (MG),236.077,227.369,117.463,167.149,136.021
Rosário da Limeira (MG),33.805,39.064,43.612,51.285,47.753
Rubelita (MG),40.684,46.272,49.252,53.194,56.558
Rubim (MG),65.467,70.798,80.320,81.285,85.337
Sabará (MG),2.013.475,2.130.507,2.199.322,2.322.491,2.524.899
Sabinópolis (MG),133.659,141.985,150.745,179.621,182.223
Sacramento (MG),770.966,1.073.185,1.185.122,1.345.706,1.531.441
Salinas (MG),444.318,468.849,532.604,545.287,553.787
Salto da Divisa (MG),76.462,81.991,88.846,93.041,97.660
Santa Bárbara (MG),703.356,715.828,697.702,719.151,766.291
Santa Bárbara do Leste (MG),58.070,70.475,69.337,78.776,79.345
Santa Bárbara do Monte Verde (MG),34.669,38.612,41.969,39.960,38.743
