UF,Municipio,Regiao,2013,2014,2015,2016,2017,2018,2019,2020
ES,São Roque do Canaã,Sudeste,168.048,188.677,186.284,179.242,217.751,173.274,190.705,207.932
ES,Vargem Alta,Sudeste,304.545,327.401,349.612,382.196,377.215,301.685,335.602,366.570
ES,Venda Nova do Imigrante,Sudeste,431.860,465.801,503.307,542.210,578.502,599.117,600.441,645.060
ES,Viana,Sudeste,1.549.708,1.609.226,1.810.309,2.082.201,2.142.039,2.630.356,2.940.204,3.619.150
ES,Vila Pavão,Sudeste,138.269,148.321,142.748,153.092,136.966,128.169,119.618,150.319
ES,Vila Valério,Sudeste,210.062,254.762,281.385,242.159,257.152,263.865,293.862,316.623
ES,Vila Velha,Sudeste,10.059.210,10.983.451,11.120.565,11.049.294,10.959.511,12.235.569,12.699.809,12.590.915
ES,Vitória,Sudeste,22.249.693,23.438.119,23.060.736,21.721.213,20.252.080,25.518.127,23.656.637,25.473.898
ES,Água Doce do Norte,Sudeste,120.249,134.046,138.073,143.132,137.382,134.205,138.666,165.981
ES,Águia Branca,Sudeste,136.120,149.072,162.082,166.986,191.694,172.210,169.157,192.510
GO,Piranhas,Centro-Oeste,254.922,299.939,367.835,359.261,362.805,362.533,377.378,465.702
GO,Barro Alto,Centro-Oeste,463.005,556.095,605.071,725.497,806.369,988.874,1.096.243,1.524.709
GO,Jussara,Centro-Oeste,358.962,410.960,384.194,428.862,440.456,485.422,532.319,592.179
GO,Mundo Novo,Centro-Oeste,88.002,93.283,100.816,105.202,105.075,99.675,104.880,129.613
GO,São Domingos,Centro-Oeste,122.499,125.910,143.869,148.310,147.985,164.165,177.713,262.306
GO,Hidrolândia,Centro-Oeste,400.099,498.394,595.505,743.697,1.121.090,903.309,1.079.844,1.175.813
GO,Morrinhos,Centro-Oeste,1.090.314,1.115.226,1.143.758,1.267.624,1.275.042,1.308.158,1.408.351,1.558.207
GO,Abadia de Goiás,Centro-Oeste,159.333,185.289,171.702,165.067,234.042,194.988,190.159,279.328
GO,Abadiânia,Centro-Oeste,219.355,281.463,289.003,288.088,303.443,323.453,352.669,412.885
GO,Acreúna,Centro-Oeste,484.361,520.633,519.570,617.897,672.439,680.172,666.499,804.208
GO,Adelândia,Centro-Oeste,27.882,30.409,30.170,31.983,36.218,36.251,37.760,42.415
GO,Alexânia,Centro-Oeste,631.152,669.606,730.593,1.401.734,781.636,806.912,1.068.224,994.578
GO,Aloândia,Centro-Oeste,31.688,34.091,35.589,38.754,39.116,42.658,46.816,54.227
GO,Alto Horizonte,Centro-Oeste,568.339,471.755,509.306,451.967,692.576,970.401,940.250,786.531
GO,Alto Paraíso de Goiás,Centro-Oeste,104.915,119.122,138.595,160.077,165.536,181.162,224.043,228.979
GO,Alvorada do Norte,Centro-Oeste,95.557,104.709,108.787,112.610,119.073,132.731,140.741,154.960
GO,Amaralina,Centro-Oeste,48.295,45.020,47.888,51.038,58.968,62.280,70.298,87.986
GO,Americano do Brasil,Centro-Oeste,70.177,58.641,73.450,86.866,63.920,70.989,76.066,80.269
GO,Amorinópolis,Centro-Oeste,57.897,53.576,51.716,54.669,58.611,62.567,67.192,79.832
GO,Anhanguera,Centro-Oeste,14.085,15.162,15.907,15.932,17.204,18.070,18.720,22.362
GO,Anicuns,Centro-Oeste,357.509,366.333,363.786,413.691,385.551,396.201,410.960,454.936
GO,Anápolis,Centro-Oeste,11.881.962,12.724.772,13.301.356,12.853.492,14.211.153,14.172.921,14.004.034,15.286.792
GO,Aparecida de Goiânia,Centro-Oeste,9.709.228,11.677.247,11.524.355,11.762.376,12.888.083,13.161.033,13.707.168,14.856.019
GO,Aparecida do Rio Doce,Centro-Oeste,55.894,66.950,69.505,73.854,88.026,77.116,83.751,93.226
GO,Aporé,Centro-Oeste,157.277,181.956,234.187,307.252,310.860,289.737,321.754,309.030
GO,Aragarças,Centro-Oeste,171.747,197.686,213.081,214.937,236.972,232.022,240.552,254.792
GO,Aragoiânia,Centro-Oeste,79.488,92.852,98.737,98.886,105.481,111.377,133.504,148.208
GO,Araguapaz,Centro-Oeste,91.124,102.340,115.907,114.594,119.274,122.886,126.834,148.532
GO,Araçu,Centro-Oeste,42.779,46.714,47.324,51.873,49.552,55.937,58.462,68.272
GO,Arenópolis,Centro-Oeste,108.307,110.726,94.533,92.613,125.319,143.926,131.279,177.679
GO,Aruanã,Centro-Oeste,121.250,143.373,160.142,162.681,209.023,178.185,198.356,228.879
GO,Aurilândia,Centro-Oeste,49.175,53.991,54.772,56.259,57.514,56.623,59.512,72.476
GO,Avelinópolis,Centro-Oeste,47.333,47.852,47.837,45.911,47.151,46.181,50.417,58.652
GO,Baliza,Centro-Oeste,57.703,60.068,65.210,72.205,70.063,78.446,82.485,95.175
GO,Bela Vista de Goiás,Centro-Oeste,760.681,786.263,835.345,859.258,955.000,1.012.234,1.128.231,1.321.484
GO,Bom Jardim de Goiás,Centro-Oeste,117.173,134.685,136.959,143.782,154.131,182.910,171.528,185.770
GO,Bom Jesus de Goiás,Centro-Oeste,607.007,575.499,616.804,764.865,800.885,739.411,792.722,933.461
GO,Bonfinópolis,Centro-Oeste,66.712,71.694,70.240,71.905,88.149,92.993,104.757,106.127
GO,Bonópolis,Centro-Oeste,63.480,72.912,87.304,91.342,96.135,97.694,99.799,114.863
GO,Brazabrantes,Centro-Oeste,62.010,76.579,90.568,109.820,104.489,107.843,66.314,82.268
GO,Britânia,Centro-Oeste,84.623,93.340,99.860,103.968,110.415,118.506,127.021,159.950
GO,Buriti Alegre,Centro-Oeste,232.429,205.740,293.934,311.388,310.636,300.344,320.373,379.809
GO,Buriti de Goiás,Centro-Oeste,33.257,35.139,34.381,36.822,38.364,40.121,47.692,49.826
GO,Buritinópolis,Centro-Oeste,23.007,26.101,54.808,83.998,79.753,75.541,76.671,84.682
GO,Cabeceiras,Centro-Oeste,204.185,205.966,222.375,269.221,210.072,222.565,255.971,310.909
GO,Cachoeira Alta,Centro-Oeste,237.623,241.872,259.059,266.562,241.325,239.068,284.565,287.386
GO,Cachoeira Dourada,Centro-Oeste,593.475,541.805,751.868,971.839,901.457,915.076,823.049,412.734
GO,Cachoeira de Goiás,Centro-Oeste,19.676,24.117,25.872,24.962,25.377,28.102,30.120,33.760
GO,Caiapônia,Centro-Oeste,545.677,512.280,487.832,634.874,622.887,690.256,491.945,571.717
GO,Caldas Novas,Centro-Oeste,1.747.255,1.970.089,2.217.461,2.217.911,2.337.684,2.624.588,2.770.913,2.551.056
GO,Caldazinha,Centro-Oeste,36.684,42.560,43.741,44.583,47.478,51.038,76.221,75.875
GO,Campestre de Goiás,Centro-Oeste,41.594,47.365,50.338,48.626,53.844,54.420,58.910,60.037
GO,Campinaçu,Centro-Oeste,47.927,53.117,56.061,49.888,51.925,63.742,70.304,77.705
GO,Campinorte,Centro-Oeste,178.330,200.462,203.751,194.624,222.379,243.647,271.546,302.615
GO,Campo Alegre de Goiás,Centro-Oeste,351.277,344.199,310.664,395.384,376.830,424.533,415.590,581.564
GO,Campo Limpo de Goiás,Centro-Oeste,73.589,85.428,84.055,81.689,93.102,108.911,122.968,142.998
GO,Campos Belos,Centro-Oeste,218.565,236.822,246.516,245.367,261.632,278.748,293.914,289.493
GO,Campos Verdes,Centro-Oeste,43.829,48.738,40.869,43.486,44.298,46.998,49.887,50.201
GO,Carmo do Rio Verde,Centro-Oeste,165.356,187.540,184.063,258.069,226.070,240.363,263.763,267.382
GO,Castelândia,Centro-Oeste,78.304,72.273,67.106,85.140,97.114,109.302,128.181,83.740
GO,Catalão,Centro-Oeste,6.140.290,5.720.673,5.677.247,5.647.514,6.234.400,6.592.615,6.924.208,7.269.176
GO,Caturaí,Centro-Oeste,53.900,56.277,62.021,71.679,63.890,68.370,72.281,76.447
GO,Cavalcante,Centro-Oeste,365.726,208.866,249.997,248.053,243.925,259.573,291.439,447.775
GO,Caçu,Centro-Oeste,475.987,488.617,567.825,831.449,844.418,819.253,815.666,908.020
GO,Ceres,Centro-Oeste,399.911,465.191,476.072,496.402,531.542,566.289,649.164,657.220
GO,Cezarina,Centro-Oeste,268.905,273.022,266.372,248.568,257.952,281.373,298.762,336.506
GO,Chapadão do Céu,Centro-Oeste,923.021,813.828,796.605,1.096.175,995.607,1.078.961,1.371.472,1.835.046
GO,Cidade Ocidental,Centro-Oeste,517.699,587.681,640.631,707.029,742.656,734.111,808.317,860.695
GO,Cocalzinho de Goiás,Centro-Oeste,243.854,272.590,285.874,281.872,301.347,321.812,340.213,370.991
GO,Colinas do Sul,Centro-Oeste,36.939,41.848,42.757,40.854,46.469,46.786,50.075,56.604
GO,Corumbaíba,Centro-Oeste,468.732,441.142,460.624,481.776,587.907,537.304,580.322,659.446
GO,Corumbá de Goiás,Centro-Oeste,116.957,138.041,145.028,142.880,157.882,176.021,201.693,237.391
GO,Cristalina,Centro-Oeste,1.755.667,1.826.005,1.941.940,2.309.734,2.294.295,2.409.439,2.541.978,3.345.354
GO,Cristianópolis,Centro-Oeste,59.606,86.389,64.358,67.895,72.099,76.001,81.064,86.161
GO,Crixás,Centro-Oeste,372.939,370.319,401.921,392.586,447.278,565.608,599.120,630.768
GO,Cromínia,Centro-Oeste,53.756,58.736,58.752,64.304,69.460,73.259,74.566,85.293
GO,Cumari,Centro-Oeste,66.670,62.071,62.173,59.970,59.916,62.016,66.525,76.701
GO,Córrego do Ouro,Centro-Oeste,43.087,44.684,45.687,44.931,45.854,49.861,55.803,62.621
GO,Damianópolis,Centro-Oeste,25.556,28.124,27.936,30.580,31.906,35.671,38.704,41.731
GO,Damolândia,Centro-Oeste,33.901,35.863,36.146,36.618,39.117,40.496,42.428,43.953
GO,Davinópolis,Centro-Oeste,213.610,157.284,218.959,315.941,383.336,388.074,431.489,604.517
GO,Diorama,Centro-Oeste,37.768,43.189,43.224,50.090,50.016,56.374,60.401,72.563
GO,Divinópolis de Goiás,Centro-Oeste,50.473,54.712,57.854,58.318,60.506,67.928,72.285,81.790
GO,Doverlândia,Centro-Oeste,160.039,182.040,190.873,210.080,206.943,232.696,240.124,268.602
GO,Edealina,Centro-Oeste,134.381,214.863,191.251,232.307,267.719,247.959,281.375,350.987
GO,Edéia,Centro-Oeste,404.897,486.110,524.419,740.087,723.386,768.727,640.655,820.456
GO,Estrela do Norte,Centro-Oeste,42.953,46.675,45.121,44.225,49.312,52.870,56.639,60.354
GO,Faina,Centro-Oeste,84.091,95.068,106.378,109.398,108.354,113.749,117.199,132.901
GO,Fazenda Nova,Centro-Oeste,82.984,91.427,92.843,100.554,98.122,108.571,112.981,122.802
GO,Firminópolis,Centro-Oeste,120.174,139.019,144.913,155.569,166.593,186.793,203.420,220.975
GO,Flores de Goiás,Centro-Oeste,112.246,125.346,131.113,139.818,137.402,150.730,170.032,190.596
GO,Formosa,Centro-Oeste,1.558.103,1.716.304,1.934.864,2.099.770,2.307.202,2.252.034,2.435.667,2.738.680
GO,Formoso,Centro-Oeste,48.767,56.271,58.100,60.597,65.112,65.481,95.388,94.966
GO,Gameleira de Goiás,Centro-Oeste,104.830,96.604,101.057,129.360,137.564,158.417,168.801,219.377
GO,Goiandira,Centro-Oeste,81.768,85.919,98.371,112.563,116.982,132.894,142.335,158.932
GO,Goianira,Centro-Oeste,506.388,646.378,681.418,809.587,894.441,822.808,921.954,960.585
GO,Goianápolis,Centro-Oeste,144.731,153.336,152.360,165.457,181.295,210.059,237.840,244.035
GO,Goianésia,Centro-Oeste,965.395,1.046.930,1.098.506,1.263.008,1.327.457,1.459.866,1.551.064,1.592.111
GO,Goiatuba,Centro-Oeste,1.186.167,1.156.418,1.338.896,1.506.479,1.539.601,1.567.542,1.606.065,1.910.745
GO,Goiás,Centro-Oeste,406.936,424.421,391.071,410.698,454.181,494.965,546.848,656.441
GO,Goiânia,Centro-Oeste,40.182.654,46.209.730,46.631.191,46.612.711,49.049.178,49.347.603,53.152.445,51.961.311
GO,Gouvelândia,Centro-Oeste,158.290,133.183,184.482,192.817,186.420,183.466,170.951,168.074
GO,Guapó,Centro-Oeste,148.385,164.209,173.094,171.785,197.904,228.781,249.272,260.942
GO,Guarani de Goiás,Centro-Oeste,37.866,40.478,44.675,44.343,51.948,55.932,65.348,68.480
GO,Guaraíta,Centro-Oeste,24.090,26.831,29.019,30.372,32.219,32.678,37.301,43.476
GO,Guarinos,Centro-Oeste,26.007,28.939,33.885,45.351,54.269,57.263,47.485,53.186
GO,Heitoraí,Centro-Oeste,39.618,42.137,41.725,45.399,51.611,52.675,58.679,68.765
GO,Hidrolina,Centro-Oeste,55.961,53.777,53.459,55.001,58.920,58.842,64.623,76.055
GO,Iaciara,Centro-Oeste,117.061,129.892,135.516,145.215,158.833,167.631,182.364,197.781
GO,Inaciolândia,Centro-Oeste,175.972,150.093,179.539,213.256,228.575,210.318,191.226,228.569
GO,Indiara,Centro-Oeste,304.548,314.729,307.397,322.673,317.680,329.024,418.459,420.560
GO,Inhumas,Centro-Oeste,751.930,930.718,920.302,998.615,1.119.164,1.136.654,1.153.031,1.258.190
GO,Ipameri,Centro-Oeste,816.967,864.311,874.646,1.216.125,1.357.816,1.276.818,1.375.038,1.825.161
GO,Ipiranga de Goiás,Centro-Oeste,44.861,42.999,40.301,53.759,50.165,56.131,56.628,60.502
GO,Iporá,Centro-Oeste,437.097,515.010,562.292,585.335,657.161,666.670,704.110,753.589
GO,Israelândia,Centro-Oeste,35.044,40.113,45.008,45.552,48.291,51.733,50.389,57.987
GO,Itaberaí,Centro-Oeste,841.746,891.921,1.018.704,1.112.352,1.264.393,1.130.551,1.317.479,1.418.265
GO,Itaguari,Centro-Oeste,50.400,56.298,56.182,59.162,65.630,74.100,83.265,84.459
GO,Itaguaru,Centro-Oeste,59.930,62.615,64.672,67.993,73.909,79.771,81.934,85.938
GO,Itajá,Centro-Oeste,86.330,95.877,97.092,101.752,104.326,103.402,104.836,108.235
GO,Itapaci,Centro-Oeste,252.342,293.728,304.677,330.351,331.348,346.125,378.650,458.043
GO,Itapirapuã,Centro-Oeste,120.601,132.457,135.125,142.738,150.873,151.560,155.499,178.549
GO,Itapuranga,Centro-Oeste,322.239,370.387,367.174,385.888,410.015,452.146,479.396,499.688
GO,Itarumã,Centro-Oeste,165.114,154.075,209.234,228.142,244.371,250.949,240.312,271.183
GO,Itauçu,Centro-Oeste,123.335,135.810,140.468,131.661,141.621,145.481,162.499,180.910
GO,Itumbiara,Centro-Oeste,3.610.104,3.857.971,3.971.655,4.052.582,4.155.337,3.924.800,4.276.142,4.771.582
GO,Ivolândia,Centro-Oeste,49.683,57.733,68.368,83.464,97.712,85.289,96.662,134.232
GO,Jandaia,Centro-Oeste,174.856,197.251,191.519,262.827,225.494,250.117,272.084,336.231
GO,Jaraguá,Centro-Oeste,571.878,650.442,647.275,635.200,691.139,728.583,796.028,807.983
GO,Jataí,Centro-Oeste,3.336.088,3.584.225,3.838.761,4.124.965,4.512.054,4.968.255,5.385.443,5.982.102
GO,Jaupaci,Centro-Oeste,33.636,37.298,43.517,45.646,49.522,50.992,53.940,64.335
GO,Jesúpolis,Centro-Oeste,22.964,24.878,25.151,26.007,27.904,29.387,32.785,33.643
GO,Joviânia,Centro-Oeste,158.469,162.254,173.451,211.668,218.829,209.185,205.807,260.711
GO,Lagoa Santa,Centro-Oeste,31.091,32.807,36.921,38.588,39.100,40.913,39.002,43.279
GO,Leopoldo de Bulhões,Centro-Oeste,182.212,162.106,162.417,183.688,205.551,237.126,262.590,279.582
GO,Luziânia,Centro-Oeste,3.104.880,3.094.565,3.353.794,3.470.089,3.392.902,3.858.807,4.097.810,4.769.559
GO,Mairipotaba,Centro-Oeste,43.490,40.141,45.488,50.079,47.685,53.842,59.487,71.468
GO,Mambaí,Centro-Oeste,61.678,70.617,70.590,76.392,77.293,84.752,86.552,86.749
GO,Mara Rosa,Centro-Oeste,145.408,161.299,174.078,179.119,197.487,199.094,224.974,256.306
GO,Marzagão,Centro-Oeste,36.727,37.602,35.093,37.771,43.640,43.575,45.774,50.876
GO,Matrinchã,Centro-Oeste,71.279,78.420,86.676,97.817,88.938,102.236,106.492,133.272
GO,Maurilândia,Centro-Oeste,168.450,180.372,181.436,187.169,202.295,226.343,213.100,221.534
GO,Mimoso de Goiás,Centro-Oeste,65.179,46.626,37.052,41.424,58.521,57.290,108.287,173.518
GO,Minaçu,Centro-Oeste,964.760,902.503,1.553.254,993.266,912.556,988.096,913.935,982.695
GO,Mineiros,Centro-Oeste,1.788.536,1.920.190,2.042.847,2.323.572,2.414.015,2.513.724,2.420.315,2.618.561
GO,Moiporá,Centro-Oeste,27.872,30.594,33.372,34.482,34.874,36.096,38.608,42.962
GO,Monte Alegre de Goiás,Centro-Oeste,64.423,73.868,77.312,81.648,81.518,85.299,91.053,99.121
GO,Montes Claros de Goiás,Centro-Oeste,213.652,252.848,248.096,286.464,258.763,304.674,348.333,436.703
GO,Montividiu,Centro-Oeste,642.882,588.085,583.053,728.222,774.097,786.573,827.850,1.033.833
GO,Montividiu do Norte,Centro-Oeste,46.539,52.007,59.146,61.481,66.812,67.253,71.407,82.485
GO,Morro Agudo de Goiás,Centro-Oeste,28.247,32.664,32.791,35.892,37.827,40.343,45.312,46.579
GO,Mossâmedes,Centro-Oeste,68.335,74.244,74.852,78.617,80.636,83.668,99.093,108.906
GO,Mozarlândia,Centro-Oeste,473.714,467.610,555.270,489.410,535.343,607.402,744.628,914.194
GO,Mutunópolis,Centro-Oeste,43.335,51.601,56.245,59.133,59.764,63.129,65.560,73.730
GO,Nazário,Centro-Oeste,129.760,140.161,159.338,172.218,174.517,174.392,203.675,247.185
GO,Nerópolis,Centro-Oeste,619.302,600.481,633.954,676.548,735.497,740.932,854.099,949.641
GO,Niquelândia,Centro-Oeste,1.046.316,1.026.825,1.197.650,989.537,1.001.427,1.105.579,1.176.033,1.072.170
GO,Nova América,Centro-Oeste,27.748,32.098,35.182,35.814,38.055,36.595,40.724,41.560
GO,Nova Aurora,Centro-Oeste,31.968,35.741,44.496,48.434,47.800,50.401,51.189,58.088
GO,Nova Crixás,Centro-Oeste,259.161,292.040,335.628,372.305,355.141,372.925,381.138,483.183
GO,Nova Glória,Centro-Oeste,91.105,102.941,100.915,120.134,125.036,118.459,120.377,120.047
GO,Nova Iguaçu de Goiás,Centro-Oeste,31.250,33.934,34.914,35.261,39.306,42.711,45.443,50.699
GO,Nova Roma,Centro-Oeste,33.267,35.996,44.217,45.847,44.131,46.005,47.988,55.263
GO,Nova Veneza,Centro-Oeste,149.377,133.529,158.762,168.550,178.648,150.908,150.845,169.018
GO,Novo Brasil,Centro-Oeste,52.829,57.178,57.969,58.899,57.623,59.090,65.198,71.556
GO,Novo Gama,Centro-Oeste,685.376,752.163,797.734,814.026,922.457,950.819,1.043.265,1.074.962
GO,Novo Planalto,Centro-Oeste,58.763,64.978,74.513,73.238,89.252,106.850,105.048,114.511
GO,Orizona,Centro-Oeste,351.609,374.732,402.300,468.043,485.431,527.808,567.277,644.632
GO,Ouro Verde de Goiás,Centro-Oeste,148.663,86.689,81.499,87.674,95.080,110.451,134.696,154.823
GO,Ouvidor,Centro-Oeste,338.030,322.545,509.891,552.081,639.371,778.855,753.758,596.789
GO,Padre Bernardo,Centro-Oeste,423.915,387.352,479.258,495.955,486.212,531.134,619.120,757.756
GO,Palestina de Goiás,Centro-Oeste,67.042,83.639,88.994,99.933,91.737,90.293,99.702,117.344
GO,Palmeiras de Goiás,Centro-Oeste,795.298,772.294,867.502,876.721,965.770,900.168,1.162.882,1.411.332
GO,Palmelo,Centro-Oeste,26.083,27.934,27.753,29.576,34.680,39.046,39.850,42.934
GO,Palminópolis,Centro-Oeste,52.552,55.440,101.951,115.210,141.052,143.464,134.657,159.072
GO,Panamá,Centro-Oeste,77.459,62.156,68.936,82.457,87.522,90.129,81.264,93.003
GO,Paranaiguara,Centro-Oeste,146.666,143.135,147.576,178.164,197.221,187.521,198.423,206.264
GO,Paraúna,Centro-Oeste,585.032,623.635,623.821,811.788,904.073,863.664,934.884,1.214.252
GO,Perolândia,Centro-Oeste,303.369,311.057,315.606,433.016,357.041,332.332,420.333,476.393
GO,Petrolina de Goiás,Centro-Oeste,107.965,123.219,128.109,134.187,144.570,150.979,162.926,161.731
GO,Pilar de Goiás,Centro-Oeste,64.422,112.895,175.299,154.674,170.813,173.780,154.088,159.509
GO,Piracanjuba,Centro-Oeste,604.093,655.671,639.352,744.956,776.387,780.751,833.550,1.087.805
GO,Pirenópolis,Centro-Oeste,358.196,398.714,373.934,347.176,412.596,446.115,536.159,547.456
GO,Pires do Rio,Centro-Oeste,624.495,667.407,743.608,821.355,894.219,857.210,1.086.835,1.068.962
GO,Planaltina,Centro-Oeste,778.672,888.040,914.807,958.151,1.017.599,1.116.145,1.215.130,1.276.695
GO,Pontalina,Centro-Oeste,336.219,408.487,416.637,449.452,500.150,475.801,508.009,589.378
GO,Porangatu,Centro-Oeste,702.348,813.281,832.179,843.257,921.992,937.136,941.824,1.016.728
GO,Porteirão,Centro-Oeste,236.910,168.275,159.192,229.586,229.521,193.386,179.436,210.678
GO,Portelândia,Centro-Oeste,185.976,157.543,168.742,206.709,214.466,217.199,207.859,229.975
GO,Posse,Centro-Oeste,359.954,425.234,434.007,459.552,494.560,537.700,574.468,581.246
GO,Professor Jamil,Centro-Oeste,44.417,60.129,56.371,50.715,59.028,55.005,58.193,63.646
GO,Quirinópolis,Centro-Oeste,1.291.650,1.332.470,1.373.847,1.635.881,1.674.391,1.700.011,1.770.174,1.980.017
GO,Rialma,Centro-Oeste,148.507,162.646,191.778,192.058,215.722,222.841,260.063,278.098
GO,Rianápolis,Centro-Oeste,115.051,104.943,94.515,93.242,95.143,82.045,75.569,73.909
GO,Rio Quente,Centro-Oeste,224.540,257.746,257.008,274.231,307.176,323.415,361.197,267.831
GO,Rio Verde,Centro-Oeste,7.348.406,7.394.324,8.075.364,8.619.821,9.502.776,9.648.528,10.210.506,11.872.211
GO,Rubiataba,Centro-Oeste,266.953,340.438,336.504,418.856,422.121,437.200,461.096,513.414
GO,Sanclerlândia,Centro-Oeste,112.887,127.497,121.039,129.157,136.959,147.009,174.713,188.802
GO,Santa Bárbara de Goiás,Centro-Oeste,94.212,112.942,95.243,91.919,90.248,97.360,104.786,115.666
GO,Santa Cruz de Goiás,Centro-Oeste,98.948,96.815,91.509,106.712,113.070,130.821,136.470,170.428
GO,Santa Fé de Goiás,Centro-Oeste,226.021,201.053,235.366,225.151,301.409,241.834,168.876,254.775
GO,Santa Helena de Goiás,Centro-Oeste,903.307,945.460,878.330,1.054.078,1.029.387,1.133.710,1.135.646,1.349.044
GO,Santa Isabel,Centro-Oeste,61.225,64.434,68.462,76.246,77.363,74.891,83.869,88.181
GO,Santa Rita do Araguaia,Centro-Oeste,126.970,129.471,139.808,149.461,133.383,139.488,151.773,141.303
GO,Santa Rita do Novo Destino,Centro-Oeste,46.613,51.627,61.008,68.806,78.811,82.631,98.937,89.278
GO,Santa Rosa de Goiás,Centro-Oeste,36.201,39.509,39.400,42.644,43.784,44.521,46.182,48.751
GO,Santa Tereza de Goiás,Centro-Oeste,45.129,50.341,54.355,56.256,62.551,61.582,65.495,68.977
GO,Santa Terezinha de Goiás,Centro-Oeste,109.397,116.727,124.396,128.997,130.882,136.652,146.652,149.699
GO,Santo Antônio da Barra,Centro-Oeste,134.991,149.660,146.066,182.281,183.420,232.943,224.751,269.141
GO,Santo Antônio de Goiás,Centro-Oeste,108.454,136.737,130.231,126.701,131.153,141.995,139.155,145.989
GO,Santo Antônio do Descoberto,Centro-Oeste,493.067,545.449,565.703,570.627,653.446,691.040,753.110,747.938
GO,Senador Canedo,Centro-Oeste,2.044.235,2.395.399,2.686.488,3.193.698,3.383.026,3.527.480,3.621.830,3.841.143
GO,Serranópolis,Centro-Oeste,248.898,285.338,323.943,436.136,383.588,393.358,412.208,498.485
GO,Silvânia,Centro-Oeste,499.541,504.894,530.731,620.484,678.092,702.700,730.723,874.988
GO,Simolândia,Centro-Oeste,63.526,75.920,86.177,90.679,98.375,103.997,122.794,143.848
GO,São Francisco de Goiás,Centro-Oeste,81.882,90.307,91.688,92.640,102.644,98.003,101.718,106.919
GO,São João da Paraúna,Centro-Oeste,32.379,41.019,41.960,47.026,49.430,53.838,51.584,66.572
GO,São Luís de Montes Belos,Centro-Oeste,565.523,607.390,721.218,760.865,830.761,880.002,1.329.611,1.267.266
GO,São Miguel do Araguaia,Centro-Oeste,379.123,426.313,440.079,514.314,482.766,490.984,505.730,546.766
GO,São Miguel do Passa Quatro,Centro-Oeste,94.148,104.242,107.182,128.369,135.671,149.539,155.999,197.893
GO,São Patrício,Centro-Oeste,30.660,31.394,32.937,35.662,34.812,35.561,41.333,45.445
GO,São Simão,Centro-Oeste,1.866.636,2.232.400,3.106.633,2.389.408,1.793.947,761.320,1.185.544,1.390.688
GO,Taquaral de Goiás,Centro-Oeste,51.654,55.959,53.827,56.488,61.217,66.503,76.224,82.714
GO,Teresina de Goiás,Centro-Oeste,22.348,27.322,28.508,29.757,32.068,32.647,35.123,35.727
GO,Terezópolis de Goiás,Centro-Oeste,125.146,157.580,176.659,178.784,188.058,185.809,180.591,173.110
GO,Trindade,Centro-Oeste,1.435.805,1.611.999,1.895.682,1.917.209,2.065.331,2.037.918,2.231.721,2.413.837
GO,Trombas,Centro-Oeste,33.927,38.670,43.415,45.190,53.011,54.784,53.639,59.428
GO,Três Ranchos,Centro-Oeste,41.669,43.556,42.103,43.690,48.504,51.323,54.519,57.147
GO,Turvelândia,Centro-Oeste,262.587,296.030,269.697,421.212,390.997,353.903,329.741,467.083
GO,Turvânia,Centro-Oeste,84.002,86.225,84.457,88.061,82.480,89.086,99.888,110.382
GO,Uirapuru,Centro-Oeste,38.649,39.484,41.254,43.875,44.365,45.516,49.010,59.303
GO,Uruana,Centro-Oeste,151.758,166.375,181.095,203.516,213.196,222.409,277.418,262.492
GO,Uruaçu,Centro-Oeste,609.971,718.980,710.958,748.363,805.178,846.910,953.670,1.066.393
GO,Urutaí,Centro-Oeste,75.810,84.891,86.091,83.713,84.341,88.632,97.477,105.018
GO,Valparaíso de Goiás,Centro-Oeste,1.637.907,1.981.670,2.155.165,2.295.605,2.493.363,2.526.285,2.765.458,2.688.974
GO,Varjão,Centro-Oeste,47.611,53.768,55.777,58.123,63.806,66.177,68.347,84.791
GO,Vianópolis,Centro-Oeste,291.919,302.880,312.348,373.802,395.861,449.973,490.089,587.313
GO,Vicentinópolis,Centro-Oeste,259.422,275.800,322.298,351.750,350.839,339.089,324.759,418.557
GO,Vila Boa,Centro-Oeste,103.233,90.478,111.229,138.810,118.639,108.469,110.478,121.887
GO,Vila Propício,Centro-Oeste,142.970,138.474,198.935,210.475,182.203,179.915,208.548,218.473
GO,Água Fria de Goiás,Centro-Oeste,165.909,163.351,201.250,277.266,218.891,257.119,262.008,349.402
GO,Água Limpa,Centro-Oeste,41.046,46.816,45.425,43.637,44.389,44.371,47.630,54.631
GO,Águas Lindas de Goiás,Centro-Oeste,1.235.512,1.430.318,1.543.370,1.627.628,1.783.936,1.889.550,2.020.831,2.088.754
MA,Presidente Dutra,Nordeste,384.182,467.735,452.610,519.290,550.957,586.820,584.910,652.279
MA,Santa Inês,Nordeste,887.122,1.071.450,1.142.442,1.223.196,1.229.422,1.289.379,1.243.982,1.322.445
MA,Santa Luzia,Nordeste,466.942,506.893,466.994,559.546,546.589,569.221,601.881,616.120
MA,Viana,Nordeste,281.491,326.604,350.885,403.374,408.001,411.808,405.850,456.151
MA,Davinópolis,Nordeste,64.720,120.416,418.091,717.649,623.860,475.511,435.822,155.081
MA,Afonso Cunha,Nordeste,27.805,35.663,36.080,35.380,44.851,51.330,52.155,71.945
MA,Alcântara,Nordeste,87.866,100.009,104.435,117.713,116.313,129.607,125.437,132.298
