UF,Municipio,Regiao,2013,2014,2015,2016,2017,2018,2019,2020
AM,Envira,Norte,116.857,124.880,129.131,142.361,148.766,157.794,172.414,178.196
AM,Fonte Boa,Norte,132.637,151.621,156.442,151.641,167.593,180.667,181.680,197.082
AM,Guajará,Norte,92.709,100.262,106.588,111.353,115.995,123.681,130.114,147.404
AM,Humaitá,Norte,367.181,422.861,450.582,482.341,556.079,621.322,721.855,780.803
AM,Ipixuna,Norte,106.738,112.260,120.605,126.316,139.916,152.316,177.141,193.678
AM,Iranduba,Norte,481.446,529.533,627.693,625.010,697.064,678.368,691.801,728.072
AM,Itacoatiara,Norte,1.440.639,1.591.040,1.762.125,1.891.522,1.979.493,1.882.624,2.070.851,2.273.856
AM,Itamarati,Norte,73.384,75.976,79.330,84.732,93.869,95.522,99.805,107.511
AM,Itapiranga,Norte,68.872,80.542,80.512,102.310,107.713,111.075,129.499,134.222
AM,Japurá,Norte,50.959,58.162,60.551,59.570,61.997,63.038,65.857,63.134
AM,Juruá,Norte,84.513,84.834,90.422,89.823,99.877,104.579,115.621,122.261
AM,Jutaí,Norte,180.234,182.212,196.731,197.969,218.569,224.322,230.654,252.836
AM,Lábrea,Norte,380.687,368.576,390.961,449.071,495.747,493.720,500.460,555.876
AM,Manacapuru,Norte,1.229.929,1.264.411,1.414.754,1.316.860,1.526.357,1.428.780,1.502.525,1.432.602
AM,Manaquiri,Norte,182.257,206.792,231.559,250.252,236.248,275.567,259.773,274.502
AM,Manaus,Norte,63.829.864,67.418.894,67.076.904,70.234.306,73.225.449,78.155.386,84.566.043,91.768.773
AM,Manicoré,Norte,400.950,459.510,492.408,476.291,495.881,529.374,560.803,621.351
AM,Maraã,Norte,96.880,117.725,122.658,141.135,153.885,129.463,140.342,148.833
AM,Maués,Norte,360.983,389.379,380.954,410.786,459.063,502.004,551.175,566.046
AM,Nhamundá,Norte,128.950,121.117,123.219,135.685,142.267,152.077,168.137,185.703
AM,Nova Olinda do Norte,Norte,157.883,187.770,195.941,212.324,234.351,247.214,278.282,293.963
AM,Novo Airão,Norte,92.626,112.457,117.037,126.322,131.745,136.543,172.501,174.377
AM,Novo Aripuanã,Norte,140.185,149.447,157.337,170.246,183.334,200.293,212.575,219.610
AM,Parintins,Norte,1.010.620,975.798,949.020,1.027.340,1.092.155,1.123.079,1.225.444,1.320.760
AM,Pauini,Norte,108.044,136.558,139.060,142.491,150.838,157.104,163.873,175.118
AM,Presidente Figueiredo,Norte,722.104,662.828,761.204,547.295,445.555,823.936,956.464,829.590
AM,Rio Preto da Eva,Norte,326.203,370.897,444.180,446.859,384.152,382.992,439.400,374.582
AM,Santa Isabel do Rio Negro,Norte,104.748,123.219,155.313,127.341,122.726,138.110,150.012,157.255
AM,Santo Antônio do Içá,Norte,126.286,146.110,149.509,163.636,172.833,181.771,191.909,208.668
AM,Silves,Norte,83.929,74.699,105.001,99.257,96.376,101.823,114.106,133.809
AM,São Gabriel da Cachoeira,Norte,216.457,257.234,265.932,284.030,314.682,331.771,349.719,376.615
AM,São Paulo de Olivença,Norte,172.810,190.870,193.791,206.312,235.478,251.748,280.976,302.142
AM,São Sebastião do Uatumã,Norte,73.866,84.210,84.630,93.403,101.297,117.748,121.771,127.921
AM,Tabatinga,Norte,327.177,366.628,382.963,423.684,463.248,537.079,594.242,653.294
AM,Tapauá,Norte,152.594,189.775,201.237,215.987,338.884,247.785,192.217,218.778
AM,Tefé,Norte,540.069,710.995,710.973,657.170,746.603,936.724,1.021.258,941.549
AM,Tonantins,Norte,99.627,107.192,114.685,118.661,123.847,133.877,151.465,158.650
AM,Uarini,Norte,106.102,121.455,130.831,172.385,186.574,188.175,196.338,205.148
AM,Urucará,Norte,256.607,302.307,310.200,297.880,298.331,330.708,302.863,306.841
AM,Urucurituba,Norte,110.166,119.412,113.917,124.236,143.101,166.521,179.336,195.781
AP,Amapá,Norte,134.479,166.809,131.867,144.316,166.941,137.264,156.669,157.700
AP,Calçoene,Norte,142.502,121.551,136.608,146.676,146.932,164.202,165.393,181.556
AP,Cutias,Norte,58.181,59.556,64.196,68.380,72.796,76.196,82.949,87.445
AP,Ferreira Gomes,Norte,155.000,190.916,351.803,347.367,500.103,533.403,494.108,519.209
AP,Itaubal,Norte,47.989,49.264,57.149,64.691,65.752,69.176,74.890,80.823
