UF,Municipio,Regiao,PIB,Ano
PE,Macaparana,Nordeste,324.092,2020
RS,Monte Alegre dos Campos,Sul,83.129,2020
BA,Serrolândia,Nordeste,,2021
SP,Catiguá,Sudeste,134.144,2020
MG,Araponga,Sudeste,96.164,2020
MG,Cambuquira,Sudeste,325.158,2020
PB,Alcantil,Nordeste,47.921,2020
GO,Gameleira de Goiás,Centro-Oeste,,2021
MA,Barra do Corda,Nordeste,,2021
MA,Nova Iorque,Nordeste,45.555,2020
ES,Laranja da Terra,Sudeste,156.096,2020
RJ,Trajano de Morais,Sudeste,,2021
PR,Jussara,Sul,,2021
MG,Aracitaba,Sudeste,,2021
BA,Barra,Nordeste,434.741,2020
RN,Venha-Ver,Nordeste,,2021
SC,Anitápolis,Sul,67.085,2020
MA,Santa Inês,Nordeste,,2021
PE,Ingazeira,Nordeste,,2021
MG,Santa Efigênia de Minas,Sudeste,,2021
BA,Teofilândia,Nordeste,,2021
PE,Poção,Nordeste,89.032,2020
TO,Pindorama do Tocantins,Norte,62.849,2020
MT,Nova Brasilândia,Centro-Oeste,,2021
GO,Uruana,Centro-Oeste,,2021
TO,Barrolândia,Norte,107.662,2020
PE,Quipapá,Nordeste,,2021
PB,São José de Princesa,Nordeste,33.725,2020
MG,Acaiaca,Sudeste,,2021
PB,Campo de Santana,Nordeste,,2021
RO,Nova Mamoré,Norte,,2021
MG,Carvalhos,Sudeste,69.951,2020
RN,José da Penha,Nordeste,,2021
SP,Álvares Florence,Sudeste,112.148,2020
MG,Januária,Sudeste,,2021
PI,Wall Ferraz,Nordeste,37.479,2020
CE,Ararendá,Nordeste,,2021
GO,Nova Glória,Centro-Oeste,120.047,2020
BA,Inhambupe,Nordeste,,2021
MG,São Sebastião do Maranhão,Sudeste,92.984,2020
MG,Rio Vermelho,Sudeste,124.667,2020
RN,Janduís,Nordeste,,2021
SC,Urupema,Sul,75.587,2020
PR,Campo Bonito,Sul,240.611,2020
MG,Bandeira do Sul,Sudeste,79.110,2020
BA,Cristópolis,Nordeste,,2021
SP,Motuca,Sudeste,,2021
TO,Bernardo Sayão,Norte,,2021
BA,Teolândia,Nordeste,,2021
MG,São João da Mata,Sudeste,50.204,2020
GO,Mossâmedes,Centro-Oeste,108.906,2020
RS,Turuçu,Sul,,2021
SC,Vitor Meireles,Sul,,2021
BA,Cravolândia,Nordeste,44.162,2020
PR,Nova Laranjeiras,Sul,253.309,2020
GO,Panamá,Centro-Oeste,93.003,2020
