UF,Municipio,Regiao,PIB,Ano
SP,Campina do Monte Alegre,Sudeste,111.190,2016
MG,Elói Mendes,Sudeste,554.663,2016
SP,Silveiras,Sudeste,62.441,2016
RJ,Silva Jardim,Sudeste,403.121,2016
TO,Pindorama do Tocantins,Norte,48.551,2016
SP,Santo Antônio do Jardim,Sudeste,154.265,2016
RS,Constantina,Sul,268.806,2016
BA,Uauá,Nordeste,191.887,2016
MG,Olhos-dÁgua,Sudeste,225.188,2016
BA,Guaratinga,Nordeste,219.618,2016
RJ,Itaperuna,Sudeste,2.519.720,2016
PR,Primeiro de Maio,Sul,272.217,2016
CE,Pacoti,Nordeste,124.959,2016
MS,Fátima do Sul,Centro-Oeste,403.495,2016
MG,Ibitiúra de Minas,Sudeste,51.623,2016
MG,Indianópolis,Sudeste,587.218,2016
SP,Campos do Jordão,Sudeste,1.158.210,2016
SP,Altinópolis,Sudeste,458.578,2016
MG,Chiador,Sudeste,28.189,2016
RN,Fernando Pedroza,Nordeste,26.017,2016
SC,Laurentino,Sul,252.520,2016
CE,Frecheirinha,Nordeste,219.200,2016
PR,Wenceslau Braz,Sul,484.190,2016
PB,Sapé,Nordeste,554.078,2016
RJ,Miguel Pereira,Sudeste,681.750,2016
RS,São Sepé,Sul,768.337,2016
SP,Águas de São Pedro,Sudeste,120.017,2016
SP,Iguape,Sudeste,622.636,2016
BA,Piatã,Nordeste,116.808,2016
SP,Arealva,Sudeste,174.406,2016
RS,Nova Candelária,Sul,131.118,2016
SE,Rosário do Catete,Nordeste,532.170,2016
PE,Santa Cruz do Capibaribe,Nordeste,1.300.317,2016
MG,Cordisburgo,Sudeste,100.263,2016
TO,Dianópolis,Norte,282.631,2016
PR,Terra Rica,Sul,328.120,2016
RO,Colorado do Oeste,Norte,306.518,2016
SP,Mombuca,Sudeste,88.132,2016
MG,Bicas,Sudeste,231.520,2016
SP,Pardinho,Sudeste,283.791,2016
SP,São Bento do Sapucaí,Sudeste,181.627,2016
GO,Itapuranga,Centro-Oeste,385.888,2016
RJ,Bom Jardim,Sudeste,678.485,2016
SP,Canas,Sudeste,240.866,2016
GO,Campos Verdes,Centro-Oeste,43.486,2016
MG,Galiléia,Sudeste,72.374,2016
RJ,Aperibé,Sudeste,167.714,2016
SP,Dourado,Sudeste,471.684,2016
MG,Doresópolis,Sudeste,55.011,2016
SP,Iacanga,Sudeste,447.155,2016
MG,Monte Sião,Sudeste,404.347,2016
SP,Conchas,Sudeste,318.353,2016
GO,Taquaral de Goiás,Centro-Oeste,56.488,2016
PB,Princesa Isabel,Nordeste,216.491,2016
SP,Mongaguá,Sudeste,921.508,2016
GO,Nerópolis,Centro-Oeste,676.548,2016
PA,Medicilândia,Norte,566.204,2016
BA,Mata de São João,Nordeste,1.038.138,2016
SP,Eldorado,Sudeste,230.886,2016
MG,Moeda,Sudeste,55.657,2016
BA,Entre Rios,Nordeste,461.476,2016
PR,Floresta,Sul,180.639,2016
PR,Mariópolis,Sul,236.475,2016
BA,Cristópolis,Nordeste,131.395,2016
MG,Araújos,Sudeste,266.124,2016
RJ,São Pedro da Aldeia,Sudeste,2.036.820,2016
RS,Ilópolis,Sul,118.061,2016
BA,Santana,Nordeste,214.029,2016
SC,São Martinho,Sul,76.439,2016
AC,Cruzeiro do Sul,Norte,1.223.340,2016
PR,Perobal,Sul,151.264,2016
SP,Cafelândia,Sudeste,419.216,2016
PE,Poção,Nordeste,78.902,2016
PA,São Domingos do Capim,Norte,315.599,2016
PR,Matinhos,Sul,943.946,2016
PR,Marilena,Sul,112.315,2016
PE,Pombos,Nordeste,336.850,2016
MG,São João Nepomuceno,Sudeste,377.129,2016
SP,Presidente Venceslau,Sudeste,709.553,2016
BA,Castro Alves,Nordeste,365.964,2016
GO,São Domingos,Centro-Oeste,148.310,2016
PI,Pedro II,Nordeste,277.597,2016
PR,Nova Prata do Iguaçu,Sul,303.549,2016
RO,Costa Marques,Norte,206.101,2016
PR,Renascença,Sul,251.652,2016
SP,Salesópolis,Sudeste,200.322,2016
RS,Faxinal do Soturno,Sul,172.458,2016
MG,Dom Viçoso,Sudeste,29.906,2016
RS,Colinas,Sul,66.668,2016
PE,Serra Talhada,Nordeste,1.284.216,2016
SP,São Simão,Sudeste,429.659,2016
RS,Turuçu,Sul,88.178,2016
PR,Mandaguaçu,Sul,505.550,2016
GO,Santa Rita do Novo Destino,Centro-Oeste,68.806,2016
MG,Inconfidentes,Sudeste,96.184,2016
SP,Monte Azul Paulista,Sudeste,496.776,2016
RS,Mostardas,Sul,337.022,2016
SP,Guariba,Sudeste,1.134.657,2016
MG,Resende Costa,Sudeste,156.514,2016
BA,Belmonte,Nordeste,285.477,2016
PR,Porto Amazonas,Sul,111.604,2016
MA,Tutóia,Nordeste,389.837,2016
GO,Montividiu do Norte,Centro-Oeste,61.481,2016
PR,Santa Mônica,Sul,74.172,2016
SP,Auriflama,Sudeste,290.768,2016
RS,Sarandi,Sul,783.973,2016
PB,Cruz do Espírito Santo,Nordeste,135.792,2016
BA,Itajuípe,Nordeste,270.072,2016
RN,Santana do Matos,Nordeste,113.283,2016
MG,Serrania,Sudeste,120.263,2016
MG,Congonhal,Sudeste,191.093,2016
SP,Águas da Prata,Sudeste,136.636,2016
RJ,Rio das Flores,Sudeste,256.668,2016
SP,Serra Negra,Sudeste,664.974,2016
BA,Lençóis,Nordeste,115.719,2016
RS,Três Cachoeiras,Sul,233.997,2016
RS,São Francisco de Paula,Sul,654.796,2016
SC,Água Doce,Sul,317.772,2016
BA,Santo Amaro,Nordeste,755.897,2016
PE,São Benedito do Sul,Nordeste,97.754,2016
MG,Santa Maria do Suaçuí,Sudeste,125.547,2016
MG,Córrego Fundo,Sudeste,151.993,2016
RJ,Araruama,Sudeste,2.476.384,2016
SC,Canelinha,Sul,165.500,2016
PE,Trindade,Nordeste,291.089,2016
BA,Conceição da Feira,Nordeste,255.894,2016
RS,Nova Pádua,Sul,68.402,2016
SP,Chavantes,Sudeste,199.412,2016
CE,Barbalha,Nordeste,854.808,2016
RJ,Parati,Sudeste,1.252.001,2016
SP,Paulicéia,Sudeste,141.374,2016
RJ,Armação dos Búzios,Sudeste,1.472.824,2016
SP,Charqueada,Sudeste,335.561,2016
SC,Meleiro,Sul,226.210,2016
RJ,Nilópolis,Sudeste,2.541.272,2016
MG,Martinho Campos,Sudeste,299.485,2016
MG,Silvianópolis,Sudeste,120.016,2016
RN,Tibau do Sul,Nordeste,287.147,2016
PB,Sobrado,Nordeste,78.110,2016
GO,Terezópolis de Goiás,Centro-Oeste,178.784,2016
MG,Carangola,Sudeste,505.803,2016
SP,Neves Paulista,Sudeste,201.373,2016
MG,Ponto dos Volantes,Sudeste,98.515,2016
SE,Barra dos Coqueiros,Nordeste,360.515,2016
SP,Igaratá,Sudeste,190.819,2016
RS,Palmares do Sul,Sul,419.084,2016
ES,Piúma,Sudeste,348.796,2016
SP,Ubatuba,Sudeste,1.783.037,2016
BA,Camacan,Nordeste,269.514,2016
AL,Murici,Nordeste,259.063,2016
MG,Nova Belém,Sudeste,58.437,2016
PR,Ipiranga,Sul,395.488,2016
PE,Timbaúba,Nordeste,619.712,2016
MG,Cachoeira de Minas,Sudeste,330.939,2016
BA,Uruçuca,Nordeste,199.798,2016
RS,Tenente Portela,Sul,363.137,2016
MS,Deodápolis,Centro-Oeste,245.742,2016
MG,Maria da Fé,Sudeste,151.309,2016
RS,Barra Funda,Sul,116.485,2016
MG,Prudente de Morais,Sudeste,132.684,2016
RS,Tramandaí,Sul,944.760,2016
MG,Astolfo Dutra,Sudeste,277.566,2016
RS,Santo Cristo,Sul,486.783,2016
SP,Tabapuã,Sudeste,238.911,2016
RS,Erval Grande,Sul,91.137,2016
SP,Ipiguá,Sudeste,96.444,2016
SC,Rancho Queimado,Sul,107.407,2016
BA,Camamu,Nordeste,328.918,2016
SP,Restinga,Sudeste,177.497,2016
MG,Tocantins,Sudeste,274.274,2016
MG,Cachoeira de Pajeú,Sudeste,88.095,2016
MG,Viçosa,Sudeste,1.507.901,2016
PA,Igarapé-Miri,Norte,353.216,2016
PE,Pesqueira,Nordeste,644.277,2016
RN,São José de Mipibu,Nordeste,654.217,2016
SP,Valentim Gentil,Sudeste,292.318,2016
RJ,Laje do Muriaé,Sudeste,132.346,2016
GO,Campo Alegre de Goiás,Centro-Oeste,395.384,2016
PB,São Bento,Nordeste,389.080,2016
AL,Pilar,Nordeste,422.423,2016
RS,Cerro Largo,Sul,626.561,2016
SC,Bombinhas,Sul,593.209,2016
SC,Rio do Campo,Sul,145.614,2016
MG,Mar de Espanha,Sudeste,152.365,2016
SC,Doutor Pedrinho,Sul,98.778,2016
MG,Passa Tempo,Sudeste,162.193,2016
PR,Califórnia,Sul,139.571,2016
MG,Buritis,Sudeste,668.593,2016
RS,Morro Reuter,Sul,170.088,2016
SP,Mineiros do Tietê,Sudeste,169.082,2016
SP,Ribeirão Bonito,Sudeste,245.619,2016
RO,Alta Floresta DOeste,Norte,478.217,2016
RJ,Cabo Frio,Sudeste,7.207.340,2016
SC,São João do Oeste,Sul,203.105,2016
RJ,Guapimirim,Sudeste,888.163,2016
MG,Muzambinho,Sudeste,458.337,2016
MG,Jequitibá,Sudeste,104.134,2016
PR,Cruz Machado,Sul,305.356,2016
BA,Itororó,Nordeste,217.447,2016
GO,Pirenópolis,Centro-Oeste,347.176,2016
BA,São Félix,Nordeste,171.638,2016
SC,Vitor Meireles,Sul,102.761,2016
RJ,Cordeiro,Sudeste,345.983,2016
SC,Sul Brasil,Sul,82.098,2016
RS,São Miguel das Missões,Sul,480.185,2016
RJ,Maricá,Sudeste,5.854.082,2016
MG,Cristina,Sudeste,164.943,2016
ES,Pinheiros,Sudeste,415.544,2016
SC,Aurora,Sul,150.187,2016
BA,Itabela,Nordeste,312.495,2016
RS,Anta Gorda,Sul,191.676,2016
PE,Escada,Nordeste,772.482,2016
SC,Herval dOeste,Sul,393.952,2016
PA,Muaná,Norte,233.425,2016
PR,Faxinal,Sul,413.669,2016
TO,Ponte Alta do Tocantins,Norte,76.131,2016
SP,Maracaí,Sudeste,411.198,2016
PA,Bujaru,Norte,481.727,2016
MG,Novorizonte,Sudeste,44.913,2016
PR,Pato Bragado,Sul,150.596,2016
MG,Baldim,Sudeste,102.270,2016
MG,Leopoldina,Sudeste,981.167,2016
RS,Selbach,Sul,215.172,2016
MG,Brasópolis,Sudeste,173.499,2016
RS,Palmeira das Missões,Sul,1.298.201,2016
SC,Urubici,Sul,260.336,2016
SP,Guatapará,Sudeste,211.864,2016
SE,Itaporanga dAjuda,Nordeste,794.925,2016
PI,Capitão Gervásio Oliveira,Nordeste,28.161,2016
SP,Coroados,Sudeste,149.376,2016
AM,Urucará,Norte,297.880,2016
MG,Nova União,Sudeste,67.869,2016
MG,Itapeva,Sudeste,244.602,2016
PR,Japurá,Sul,205.088,2016
ES,Marataízes,Sudeste,1.119.057,2016
MT,General Carneiro,Centro-Oeste,244.257,2016
MG,Muriaé,Sudeste,2.037.368,2016
SP,Lindóia,Sudeste,160.280,2016
SC,Caibi,Sul,183.043,2016
SC,Tangará,Sul,394.760,2016
SP,Aparecida,Sudeste,1.022.046,2016
RS,Ponte Preta,Sul,53.220,2016
AL,Maragogi,Nordeste,521.556,2016
SP,Piraju,Sudeste,607.437,2016
PA,Acará,Norte,789.271,2016
PE,Caruaru,Nordeste,6.261.484,2016
RS,Planalto,Sul,186.658,2016
SP,Cedral,Sudeste,295.689,2016
PB,Boa Vista,Nordeste,126.091,2016
MG,Jacinto,Sudeste,100.544,2016
SP,Santa Adélia,Sudeste,299.347,2016
AM,Benjamin Constant,Norte,271.447,2016
MG,Juruaia,Sudeste,177.371,2016
SP,São Pedro,Sudeste,679.407,2016
RS,Montauri,Sul,56.575,2016
MA,Santo Antônio dos Lopes,Nordeste,1.276.244,2016
PR,Kaloré,Sul,94.006,2016
SC,Guaraciaba,Sul,276.994,2016
MG,Cabo Verde,Sudeste,229.026,2016
PR,Santa Helena,Sul,854.651,2016
SP,Roseira,Sudeste,249.123,2016
BA,Rio de Contas,Nordeste,112.093,2016
CE,Jaguaribe,Nordeste,451.543,2016
RS,Jacutinga,Sul,119.104,2016
SC,Frei Rogério,Sul,60.956,2016
MG,Curral de Dentro,Sudeste,60.773,2016
RS,Rio Pardo,Sul,900.447,2016
TO,Santa Rosa do Tocantins,Norte,87.265,2016
PR,Guaraqueçaba,Sul,103.789,2016
MT,Apiacás,Centro-Oeste,132.341,2016
SC,Antônio Carlos,Sul,599.424,2016
RS,Estação,Sul,255.387,2016
SP,Cunha,Sudeste,222.713,2016
SP,Águas de Lindóia,Sudeste,440.355,2016
MG,Bonfinópolis de Minas,Sudeste,208.848,2016
AM,Boca do Acre,Norte,328.570,2016
PI,Piripiri,Nordeste,641.357,2016
PR,Tamboara,Sul,104.947,2016
PA,Chaves,Norte,178.428,2016
MG,Alvinópolis,Sudeste,268.722,2016
PI,Pio IX,Nordeste,129.452,2016
SP,Iacri,Sudeste,161.063,2016
AC,Xapuri,Norte,220.428,2016
RS,Sentinela do Sul,Sul,91.810,2016
AC,Senador Guiomard,Norte,325.553,2016
PB,Queimadas,Nordeste,439.633,2016
PR,Adrianópolis,Sul,238.845,2016
PR,Douradina,Sul,490.903,2016
PR,São Tomé,Sul,164.131,2016
RS,Silveira Martins,Sul,51.002,2016
BA,Caetanos,Nordeste,77.266,2016
MG,Coronel Fabriciano,Sudeste,1.618.607,2016
RJ,Comendador Levy Gasparian,Sudeste,349.233,2016
CE,Solonópole,Nordeste,163.669,2016
PE,Araripina,Nordeste,786.323,2016
GO,Morrinhos,Centro-Oeste,1.267.624,2016
SC,Irineópolis,Sul,324.905,2016
CE,Brejo Santo,Nordeste,686.692,2016
SP,Piacatu,Sudeste,97.253,2016
GO,Bela Vista de Goiás,Centro-Oeste,859.258,2016
GO,Cidade Ocidental,Centro-Oeste,707.029,2016
RS,Arroio do Sal,Sul,202.744,2016
SC,Irani,Sul,196.138,2016
RS,Piratini,Sul,352.161,2016
RS,Três Passos,Sul,721.244,2016
SP,Rio Grande da Serra,Sudeste,607.626,2016
RS,Tapera,Sul,418.273,2016
SP,Ipauçu,Sudeste,342.572,2016
AM,Borba,Norte,270.980,2016
MG,Itaverava,Sudeste,54.499,2016
BA,Conceição do Almeida,Nordeste,157.909,2016
MA,Peri Mirim,Nordeste,71.696,2016
MG,Coronel Murta,Sudeste,82.204,2016
RS,Santa Vitória do Palmar,Sul,899.586,2016
PA,Abel Figueiredo,Norte,76.699,2016
RJ,Vassouras,Sudeste,961.892,2016
SC,Modelo,Sul,112.414,2016
RJ,Magé,Sudeste,3.684.860,2016
SC,Mirim Doce,Sul,49.677,2016
SP,Panorama,Sudeste,260.217,2016
GO,Alexânia,Centro-Oeste,1.401.734,2016
RS,Putinga,Sul,90.852,2016
PR,Santa Cecília do Pavão,Sul,108.040,2016
RS,Porto Mauá,Sul,58.472,2016
SC,Gravatal,Sul,203.118,2016
RN,Açu,Nordeste,780.970,2016
GO,Uruaçu,Centro-Oeste,748.363,2016
SP,Bertioga,Sudeste,1.486.903,2016
PE,Tacaratu,Nordeste,149.948,2016
SP,Juquitiba,Sudeste,450.954,2016
PA,Curuçá,Norte,266.389,2016
SP,Praia Grande,Sudeste,6.197.207,2016
MA,Santa Luzia do Paruá,Nordeste,222.390,2016
PR,Ivaí,Sul,283.522,2016
PA,Ulianópolis,Norte,1.305.409,2016
BA,Santa Cruz Cabrália,Nordeste,344.053,2016
MG,Campos Gerais,Sudeste,482.627,2016
SC,Camboriú,Sul,1.211.402,2016
MG,São Gonçalo do Sapucaí,Sudeste,633.300,2016
RS,Rosário do Sul,Sul,856.639,2016
PR,Mercedes,Sul,199.501,2016
RJ,Saquarema,Sudeste,2.188.281,2016
RS,Salvador das Missões,Sul,111.600,2016
SP,Peruíbe,Sudeste,1.187.475,2016
MG,Almenara,Sudeste,473.769,2016
RS,São Pedro da Serra,Sul,66.089,2016
RS,Carazinho,Sul,2.723.341,2016
RS,Três de Maio,Sul,938.685,2016
CE,Crato,Nordeste,1.512.879,2016
AM,Novo Aripuanã,Norte,170.246,2016
SP,Brodowski,Sudeste,624.901,2016
PR,São João do Ivaí,Sul,242.668,2016
MG,Nova Resende,Sudeste,277.346,2016
AL,Japaratinga,Nordeste,110.822,2016
MS,Jardim,Centro-Oeste,532.511,2016
SP,Echaporã,Sudeste,126.284,2016
RJ,Cantagalo,Sudeste,865.420,2016
SC,Catanduvas,Sul,402.536,2016
RS,Aratiba,Sul,955.864,2016
BA,Baixa Grande,Nordeste,137.333,2016
RJ,Mesquita,Sudeste,2.287.035,2016
MS,Terenos,Centro-Oeste,461.394,2016
MG,Guapé,Sudeste,237.155,2016
SP,Itanhaém,Sudeste,1.608.296,2016
RR,Caracaraí,Norte,327.059,2016
GO,Caldas Novas,Centro-Oeste,2.217.911,2016
MG,Monjolos,Sudeste,32.776,2016
SC,Alfredo Wagner,Sul,213.006,2016
PR,Pranchita,Sul,189.789,2016
MG,Moema,Sudeste,97.930,2016
RS,Butiá,Sul,428.011,2016
SC,Bandeirante,Sul,62.748,2016
RJ,Sumidouro,Sudeste,370.863,2016
MS,Nova Alvorada do Sul,Centro-Oeste,1.427.692,2016
PA,Senador José Porfírio,Norte,119.237,2016
SP,Vargem,Sudeste,103.070,2016
PE,Ouricuri,Nordeste,552.333,2016
PB,Santa Teresinha,Nordeste,45.926,2016
PR,Nova Esperança,Sul,659.551,2016
BA,Igaporã,Nordeste,167.049,2016
SC,São José do Cedro,Sul,386.051,2016
MG,Rio Acima,Sudeste,136.092,2016
MA,Timon,Nordeste,1.602.604,2016
SP,Paranapanema,Sudeste,647.071,2016
MG,Águas Vermelhas,Sudeste,184.160,2016
RS,Santo Augusto,Sul,513.984,2016
SP,Guará,Sudeste,404.279,2016
SC,Luzerna,Sul,155.687,2016
RS,Sinimbu,Sul,196.002,2016
MG,Japaraíba,Sudeste,58.922,2016
SP,Tarabai,Sudeste,104.054,2016
SP,Sarapuí,Sudeste,134.881,2016
MT,Nobres,Centro-Oeste,532.683,2016
MG,São Tomás de Aquino,Sudeste,149.692,2016
GO,Santo Antônio de Goiás,Centro-Oeste,126.701,2016
RJ,Carmo,Sudeste,466.417,2016
SP,Irapuã,Sudeste,149.445,2016
SP,Boracéia,Sudeste,340.640,2016
SP,Cachoeira Paulista,Sudeste,570.980,2016
SC,Cordilheira Alta,Sul,188.464,2016
MG,Funilândia,Sudeste,49.913,2016
SC,Guatambú,Sul,241.884,2016
MG,Lambari,Sudeste,333.262,2016
PB,Juazeirinho,Nordeste,144.780,2016
SC,Jacinto Machado,Sul,289.946,2016
RJ,Santo Antônio de Pádua,Sudeste,1.077.169,2016
PB,Nova Palmeira,Nordeste,38.786,2016
RS,São Lourenço do Sul,Sul,1.072.593,2016
RN,Nísia Floresta,Nordeste,338.527,2016
RJ,Barra do Piraí,Sudeste,1.984.592,2016
RS,Cotiporã,Sul,125.029,2016
SP,Saltinho,Sudeste,225.249,2016
PR,Vitorino,Sul,349.190,2016
SC,Pinheiro Preto,Sul,149.761,2016
PR,Marmeleiro,Sul,402.245,2016
RS,Novo Cabrais,Sul,78.405,2016
RS,Santo Antônio do Palma,Sul,68.143,2016
PE,São Lourenço da Mata,Nordeste,1.050.789,2016
BA,Sento Sé,Nordeste,407.549,2016
PI,Juazeiro do Piauí,Nordeste,39.433,2016
RR,Rorainópolis,Norte,501.717,2016
RS,Condor,Sul,327.581,2016
BA,Bonito,Nordeste,158.195,2016
SP,Bálsamo,Sudeste,189.006,2016
CE,Granja,Nordeste,374.710,2016
RS,Agudo,Sul,441.246,2016
PR,Nova Aurora,Sul,520.238,2016
RJ,Cachoeiras de Macacu,Sudeste,1.042.235,2016
SP,São Pedro do Turvo,Sudeste,181.632,2016
SC,Paulo Lopes,Sul,173.173,2016
MS,Bandeirantes,Centro-Oeste,323.623,2016
PI,Esperantina,Nordeste,325.078,2016
MG,Monte Santo de Minas,Sudeste,436.493,2016
SP,Serrana,Sudeste,892.503,2016
PR,Pinhalão,Sul,159.539,2016
CE,Marco,Nordeste,272.481,2016
MG,Pirapetinga,Sudeste,461.284,2016
RS,São Vendelino,Sul,62.957,2016
MT,Nova Monte verde,Centro-Oeste,170.663,2016
RR,Bonfim,Norte,247.398,2016
RS,São José do Hortêncio,Sul,121.001,2016
MG,Campanha,Sudeste,322.396,2016
SC,Botuverá,Sul,250.925,2016
BA,Maragogipe,Nordeste,403.956,2016
RO,Alto Paraíso,Norte,287.145,2016
MG,Maravilhas,Sudeste,112.711,2016
ES,Muqui,Sudeste,169.397,2016
PE,Buíque,Nordeste,380.715,2016
RJ,Areal,Sudeste,315.905,2016
MT,União do Sul,Centro-Oeste,123.123,2016
MG,Mutum,Sudeste,342.879,2016
SP,Rafard,Sudeste,334.979,2016
RS,Nova Boa Vista,Sul,81.294,2016
SP,Registro,Sudeste,1.827.928,2016
MG,Boa Esperança,Sudeste,875.750,2016
MT,Jaciara,Centro-Oeste,892.676,2016
TO,São Miguel do Tocantins,Norte,97.206,2016
BA,Maiquinique,Nordeste,93.444,2016
RS,Alto Feliz,Sul,81.092,2016
MG,Eugenópolis,Sudeste,142.257,2016
CE,Quixeré,Nordeste,321.960,2016
RS,Maratá,Sul,90.054,2016
RS,Independência,Sul,249.012,2016
RN,Caicó,Nordeste,1.060.507,2016
MG,Sarzedo,Sudeste,793.584,2016
MG,Virgem da Lapa,Sudeste,103.029,2016
BA,Una,Nordeste,286.463,2016
MG,Mata Verde,Sudeste,58.889,2016
AM,Parintins,Norte,1.027.340,2016
PR,Quitandinha,Sul,313.578,2016
ES,Guaçuí,Sudeste,567.641,2016
PA,Trairão,Norte,310.251,2016
SP,Queluz,Sudeste,270.280,2016
MG,Carmo da Cachoeira,Sudeste,238.317,2016
MG,Campo Belo,Sudeste,936.136,2016
PA,Rurópolis,Norte,341.999,2016
PR,Juranda,Sul,334.602,2016
PA,Santa Maria das Barreiras,Norte,297.680,2016
RS,Mato Leitão,Sul,132.330,2016
ES,Guarapari,Sudeste,2.080.766,2016
PB,Casserengue,Nordeste,54.741,2016
RN,Lajes,Nordeste,108.299,2016
ES,São Gabriel da Palha,Sudeste,557.783,2016
ES,Fundão,Sudeste,367.802,2016
MA,Lago do Junco,Nordeste,67.200,2016
SP,Ibaté,Sudeste,773.593,2016
SP,Buritama,Sudeste,608.006,2016
RS,São Jerônimo,Sul,571.731,2016
MG,Bom Jesus da Penha,Sudeste,124.071,2016
SE,Riachuelo,Nordeste,156.430,2016
PR,Roncador,Sul,369.767,2016
BA,Ibirataia,Nordeste,171.489,2016
RS,Dom Pedrito,Sul,1.235.611,2016
SP,Igarapava,Sudeste,1.077.508,2016
PR,Santa Mariana,Sul,322.781,2016
RN,Touros,Nordeste,407.063,2016
SP,Santa Rita do Passa Quatro,Sudeste,595.472,2016
SP,Santa Branca,Sudeste,219.261,2016
MG,Bela Vista de Minas,Sudeste,158.686,2016
PB,Picuí,Nordeste,163.756,2016
BA,Inhambupe,Nordeste,433.278,2016
CE,Iguatu,Nordeste,1.422.458,2016
TO,Mateiros,Norte,56.428,2016
RS,Guarani das Missões,Sul,306.591,2016
PR,Sertaneja,Sul,263.417,2016
RS,Tapes,Sul,350.695,2016
RS,Vila Maria,Sul,207.996,2016
RS,Boa Vista do Buricá,Sul,187.789,2016
SC,Campo Belo do Sul,Sul,213.741,2016
RN,Areia Branca,Nordeste,735.957,2016
ES,Água Doce do Norte,Sudeste,143.132,2016
RS,Casca,Sul,408.520,2016
PR,Chopinzinho,Sul,606.923,2016
MG,Nepomuceno,Sudeste,471.766,2016
BA,Jaguaripe,Nordeste,162.166,2016
SC,Xaxim,Sul,845.678,2016
PR,Barra do Jacaré,Sul,85.143,2016
PB,Guarabira,Nordeste,939.091,2016
RS,São Valentim do Sul,Sul,51.083,2016
MG,Ataléia,Sudeste,147.727,2016
PR,Três Barras do Paraná,Sul,306.523,2016
RS,Cândido Godói,Sul,217.678,2016
PE,Inajá,Nordeste,153.838,2016
TO,Taguatinga,Norte,218.948,2016
MG,Guarani,Sudeste,126.338,2016
BA,Itatim,Nordeste,305.892,2016
MG,São Geraldo do Baixio,Sudeste,39.639,2016
MG,Camanducaia,Sudeste,528.016,2016
PE,Vicência,Nordeste,378.060,2016
RN,Apodi,Nordeste,419.171,2016
MT,Tabaporã,Centro-Oeste,369.969,2016
SC,Coronel Freitas,Sul,257.645,2016
MG,Salinas,Sudeste,545.287,2016
RS,Liberato Salzano,Sul,122.209,2016
SP,Pratânia,Sudeste,107.106,2016
PR,Porecatu,Sul,631.361,2016
RS,Fazenda Vilanova,Sul,119.825,2016
SC,Abelardo Luz,Sul,604.764,2016
MG,Cambuí,Sudeste,1.001.320,2016
SP,Sales Oliveira,Sudeste,331.584,2016
RJ,Japeri,Sudeste,1.293.084,2016
MA,São Domingos do Azeitão,Nordeste,110.603,2016
SC,Santo Amaro da Imperatriz,Sul,745.983,2016
PR,Morretes,Sul,301.525,2016
GO,Abadia de Goiás,Centro-Oeste,165.067,2016
SP,Colômbia,Sudeste,347.116,2016
PI,Castelo do Piauí,Nordeste,152.654,2016
MS,Itaporã,Centro-Oeste,651.574,2016
BA,Itaberaba,Nordeste,810.003,2016
PR,Capitão Leônidas Marques,Sul,1.491.314,2016
SP,Casa Branca,Sudeste,835.770,2016
PR,Nova Londrina,Sul,303.665,2016
SC,Ilhota,Sul,632.582,2016
RS,Osório,Sul,1.326.459,2016
PA,Uruará,Norte,504.096,2016
BA,Campo Formoso,Nordeste,727.958,2016
PR,Santa Fé,Sul,233.430,2016
MG,Guaranésia,Sudeste,373.487,2016
PR,Tibagi,Sul,887.025,2016
MG,Caldas,Sudeste,227.527,2016
PR,Janiópolis,Sul,167.000,2016
RN,São Bento do Norte,Nordeste,105.101,2016
SC,Faxinal dos Guedes,Sul,402.978,2016
GO,Faina,Centro-Oeste,109.398,2016
MG,Bom Despacho,Sudeste,1.150.401,2016
RS,Nova Ramada,Sul,123.286,2016
MG,Cruzília,Sudeste,219.278,2016
TO,Peixe,Norte,512.102,2016
SC,Santa Rosa do Sul,Sul,129.201,2016
SP,Capão Bonito,Sudeste,811.127,2016
SP,Dirce Reis,Sudeste,54.598,2016
SP,Dracena,Sudeste,1.127.243,2016
RS,Gaurama,Sul,216.485,2016
MA,São José de Ribamar,Nordeste,1.914.649,2016
SC,São Cristovão do Sul,Sul,120.724,2016
RS,Doutor Ricardo,Sul,52.522,2016
PR,Mangueirinha,Sul,1.697.492,2016
PR,Mandirituba,Sul,548.344,2016
SP,Vargem Grande do Sul,Sudeste,910.800,2016
PR,Alto Paraná,Sul,269.412,2016
MG,Carlos Chagas,Sudeste,356.377,2016
AM,Maués,Norte,410.786,2016
SC,Guabiruba,Sul,816.352,2016
CE,Canindé,Nordeste,643.018,2016
PR,Laranjeiras do Sul,Sul,694.197,2016
BA,Gandu,Nordeste,320.440,2016
MS,Tacuru,Centro-Oeste,191.669,2016
RS,Santa Tereza,Sul,36.612,2016
RN,Bodó,Nordeste,41.438,2016
SP,Taiaçu,Sudeste,78.021,2016
PR,Realeza,Sul,578.394,2016
RS,Brochier,Sul,79.589,2016
SP,Itararé,Sudeste,886.623,2016
CE,Jaguaruana,Nordeste,364.368,2016
BA,Teixeira de Freitas,Nordeste,2.262.398,2016
MG,Arapuá,Sudeste,117.052,2016
BA,Macaúbas,Nordeste,322.738,2016
RS,Nonoai,Sul,369.664,2016
SE,Nossa Senhora do Socorro,Nordeste,2.444.144,2016
MA,João Lisboa,Nordeste,201.514,2016
RJ,São João de Meriti,Sudeste,9.405.814,2016
RS,Capivari do Sul,Sul,224.582,2016
MG,Araçuaí,Sudeste,365.971,2016
CE,Morada Nova,Nordeste,753.413,2016
