Municipio,UF,População,Total Despesa
Manoel Emídio,PI,5260,10389518.98
Manoel Ribas,PR,13610,25937457.44
Manoel Urbano,AC,8386,13934830.14
Manoel Viana,RS,7333,15215753.03
Manoel Vitorino,BA,14600,29954485.52
Mansidão,BA,13598,23114536.86
Mantena,MG,27983,43862185.55
Mantenópolis,ES,14808,32939692.2
Maquiné,RS,7068,14389240.59
Mar Vermelho,AL,3698,12683270.61
Mar de Espanha,MG,12384,16770712.21
Marabá,PA,251885,502327705.69
Marabá Paulista,SP,5251,15106717.89
Maracaju,MS,41099,99751523.34
Maracajá,SC,6784,15825439.92
Maracanaú,CE,217922,451951176.39
Maracanã,PA,28631,46976844.97
Maracaçumé,MA,20268,28672407.38
Maracaí,SP,13842,35208625.57
Maracás,BA,24491,41150022.49
Maragogi,AL,31299,52907286.19
Maragogipe,BA,45740,82490639.9
Maraial,PE,12009,22927749.6
Marajá do Sena,MA,7721,17618889.13
Maranguape,CE,120405,147607318.02
Maranhãozinho,MA,15011,26622236.56
Marapanim,PA,27153,16751500.23
Marapoama,SP,2818,12467702.08
Marataízes,ES,37140,108077327.34
Maratá,RS,2639,12918475.53
Marau,RS,39182,82458881.45
Maravilha,AL,10168,22149506.64
Maravilha,SC,23602,47989818.49
Maravilhas,MG,7600,14202613.97
Maraã,AM,18310,32276473.05
Maraú,BA,21016,40240934.68
Marcação,PB,8117,14269226.59
Marcelino Ramos,RS,5123,18858562.29
Marcelino Vieira,RN,8506,13143345.42
Marcelândia,MT,11324,21806866.38
Marcionílio Souza,BA,11026,21982171.27
Marco,CE,25944,45053666.97
Marcolândia,PI,8121,13386966.75
Marcos Parente,PI,4484,9448530.54
Marechal Cândido Rondon,PR,49773,106703578.2
Marechal Deodoro,AL,49853,115697901.61
Marechal Floriano,ES,15689,38105806.07
Marechal Thaumaturgo,AC,15857,35697432.16
Marema,SC,2094,9857458.27
Mari,PB,21648,28532593.78
Maria Helena,PR,6034,12896986.38
Maria da Fé,MG,14551,21799150.97
Marialva,PR,33794,63763349.76
Mariana,MG,57639,318640771.8
Mariana Pimentel,RS,3906,10220750.91
Mariano Moro,RS,2235,11125968.03
Marianópolis do Tocantins,TO,4730,10946046.15
Maribondo,AL,13807,25350466.72
Maricá,RJ,139552,406678766.64
Marilac,MG,4297,12667464.19
Marilena,PR,7100,13670899.5
Mariluz,PR,10526,24368550.56
Marilândia,ES,12092,26952127.27
Marilândia do Sul,PR,9088,17410942.3
Maringá,PR,385753,887484506.29
Marinópolis,SP,2160,9996168.42
Maripá,PR,5810,18378269.98
Maripá de Minas,MG,2917,10186529.79
Marituba,PA,117614,151858085.34
Marizópolis,PB,6423,13611681.17
Mariápolis,SP,4057,12100452.44
Mariópolis,PR,6529,18346775.84
Marliéria,MG,4125,11981315.04
Marmeleiro,PR,14397,31041709.84
Marmelópolis,MG,2979,9205134.12
Marques de Souza,RS,4176,11971711.24
Marquinho,PR,4965,10843740.87
Martinho Campos,MG,13180,26166877.07
Martins,RN,8615,12442348.81
Martins Soares,MG,7744,12820998.38
Martinópole,CE,10693,19855775.7
Martinópolis,SP,25473,56846126.65
Maruim,SE,16998,29686051.72
Marumbi,PR,4745,11378169.11
Marzagão,GO,2169,8747172.46
Marília,SP,228618,584254389.78
Mascote,BA,15221,26054683.09
Massapê,CE,36854,45108509.53
Massapê do Piauí,PI,6305,11779290.91
Massaranduba,PB,13438,19973044.8
Massaranduba,SC,15586,32609951.1
Mata,RS,5198,11997892.4
Mata Grande,AL,25349,52724809.74
Mata Roma,MA,15951,30360846.43
Mata Verde,MG,8299,13907865.67
Mata de São João,BA,44538,129835075.35
Mataraca,PB,7952,19596355.95
Mateiros,TO,2430,8506173.22
Matelândia,PR,17026,39396672.4
Materlândia,MG,4673,10699283.63
Mateus Leme,MG,29578,51724455.7
Mathias Lobato,MG,3406,10267834.98
Matias Barbosa,MG,14104,38122265.84
Matias Cardoso,MG,10608,18888626.95
Matias Olímpio,PI,10664,15875763.6
Matina,BA,12114,20644701.91
Matinha,MA,22515,35333010.19
Matinhas,PB,4453,10481143.81
Matinhos,PR,31690,71242152.78
Matipó,MG,18491,31281923.53
Mato Castelhano,RS,2559,9746906.72
Mato Grosso,PB,2821,8534323.11
Mato Queimado,RS,1819,8829075.93
Mato Rico,PR,3765,10205937.67
Mato Verde,MG,12947,18297726.27
Matos Costa,SC,2767,9727188.98
Matozinhos,MG,36031,49621041.9
Matrinchã,GO,4510,12214663.38
Matriz de Camaragibe,AL,25005,39592861.17
Matupá,MT,14973,30496212.36
Maturéia,PB,6283,13712212.78
Matutina,MG,3856,10430220.56
Matão,SP,80528,173264953.26
Matões,MA,32545,48524934.58
Matões do Norte,MA,15322,29660232.61
Maurilândia,GO,12513,20577196.52
Maurilândia do Tocantins,TO,3313,7566385.33
Mauriti,CE,45640,71217948.34
Mauá,SP,444136,760388619.08
Mauá da Serra,PR,9355,16034644.83
Maués,AM,57663,89107915.18
Maxaranguape,RN,11419,21702309.71
Maximiliano de Almeida,RS,4938,11551837.8
Mazagão,AP,18739,28364889.02
Maçambará,RS,4845,
Medeiros,MG,3644,12587549.53
Medeiros Neto,BA,23358,41943859.09
Medianeira,PR,44149,74093989.93
Medicilândia,PA,28987,41328845.0
Medina,MG,21513,29859140.57
Meleiro,SC,7085,18612635.93
Mendes,RJ,18072,48082954.91
Mendes Pimentel,MG,6533,13518732.56
Mendonça,SP,5014,17314629.02
Mercedes,PR,5316,19294903.47
Mercês,MG,10753,15644118.62
Meridiano,SP,3934,16673733.42
Meruoca,CE,14377,27515321.8
Mesquita,MG,6084,10826697.39
Mesquita,RJ,170185,244534811.41
Messias,AL,17110,32061511.8
Messias Targino,RN,4448,10790160.76
Mesópolis,SP,1935,11155792.15
Miguel Alves,PI,32900,47022871.5
Miguel Calmon,BA,27569,37216367.89
Miguel Leão,PI,1244,5691092.65
Miguel Pereira,RJ,24815,66277625.52
Miguelópolis,SP,21471,62266970.45
Milagres,BA,11569,18887595.13
Milagres,CE,28487,41510010.99
Milagres do Maranhão,MA,8237,14655025.68
Milhã,CE,13207,22958795.85
Milton Brandão,PI,6797,13294461.95
Mimoso do Sul,ES,27309,54246895.03
Minador do Negrão,AL,5439,15603331.3
Minas Novas,MG,31811,38787080.07
Minas do Leão,RS,7956,16081989.83
Minduri,MG,3957,11281143.45
Mineiros,GO,58062,132449694.03
Mineiros do Tietê,SP,12583,22963813.23
Ministro Andreazza,RO,10899,39503194.68
Mira Estrela,SP,2968,15138395.26
Mirabela,MG,13552,19064754.33
Miracatu,SP,20790,46434668.17
Miracema,RJ,26786,71575223.98
Miracema do Tocantins,TO,20243,34426876.47
Mirador,MA,20576,27575596.83
Mirador,PR,2355,9977446.26
Miradouro,MG,10674,15440351.67
Miraguaí,RS,4990,10594987.15
Miranda,MS,26670,49791065.7
Miranda do Norte,MA,26419,47270176.1
Mirandiba,PE,14915,25136246.68
Mirandópolis,SP,28758,58135557.31
Mirangaba,BA,17714,34257659.47
Miranorte,TO,13164,17375372.29
Mirante,BA,10270,16891039.14
Mirante da Serra,RO,12469,19618710.37
Mirante do Paranapanema,SP,17820,44309009.61
Miraselva,PR,1896,8931067.28
Mirassol,SP,56910,110658533.38
Mirassol d'Oeste,MT,26002,37459293.42
Mirassolândia,SP,4574,11618623.09
Miravânia,MG,4772,11293150.37
Miraí,MG,14540,22501152.21
Miraíma,CE,13259,25431931.05
Mirim Doce,SC,2476,11176514.15
Mirinzal,MA,14504,19898606.97
Missal,PR,10813,30424074.47
Missão Velha,CE,35056,49659389.31
Mocajuba,PA,28454,42748500.09
Mococa,SP,68590,138980245.48
Modelo,SC,4147,12324961.89
Moeda,MG,4883,14173698.52
Moema,MG,7363,12225126.97
Mogeiro,PB,13349,22447656.4
Mogi Guaçu,SP,144963,351094869.72
Mogi Mirim,SP,90558,269791836.04
Mogi das Cruzes,SP,414907,976608348.31
Moiporá,GO,1744,8723146.56
Moita Bonita,SE,11350,18566032.13
Moju,PA,74768,133331853.46
Mojuí dos Campos,PA,15232,23729040.54
Mombaça,CE,43493,48985705.2
Mombuca,SP,3411,14474688.62
Mondaí,SC,10877,23801431.46
Mongaguá,SP,50641,145466551.24
Monjolos,MG,2379,8090782.65
Monsenhor Gil,PI,10411,17628861.17
Monsenhor Hipólito,PI,7541,11278944.07
Monsenhor Paulo,MG,8537,14442754.32
Monsenhor Tabosa,CE,16984,27910807.29
Montadas,PB,5351,11592935.96
Montalvânia,MG,15974,21484173.09
Montanha,ES,19049,42359250.82
Montanhas,RN,11644,17155982.32
Montauri,RS,1568,10100632.97
Monte Alegre,PA,56147,101572015.63
Monte Alegre,RN,21833,33114511.12
Monte Alegre de Goiás,GO,8166,12757274.51
Monte Alegre de Minas,MG,20594,49623446.43
Monte Alegre de Sergipe,SE,14513,21973323.81
Monte Alegre do Piauí,PI,10438,19122898.6
Monte Alegre do Sul,SP,7593,22575104.95
Monte Alegre dos Campos,RS,3221,10806605.14
Monte Alto,SP,48907,99212726.81
Monte Aprazível,SP,23294,44379556.58
Monte Azul,MG,22218,31617082.17
Monte Azul Paulista,SP,19376,47121766.03
Monte Belo,MG,13435,20857701.22
Monte Belo do Sul,RS,2720,10522414.3
Monte Carlo,SC,9604,19979537.65
Monte Carmelo,MG,47595,76331321.61
Monte Castelo,SC,8478,15776970.88
Monte Castelo,SP,4187,15418000.46
Monte Horebe,PB,4688,10619629.22
Monte Mor,SP,53488,141733332.84
Monte Negro,RO,15541,32256434.94
Monte Santo,BA,54884,80642077.98
Monte Santo de Minas,MG,21878,32727046.46
Monte Santo do Tocantins,TO,2196,7277475.46
Monte Sião,MG,22557,39818742.55
Monte das Gameleiras,RN,2261,9985065.4
Monte do Carmo,TO,7286,11737688.57
Monteiro,PB,32211,47717569.13
Monteiro Lobato,SP,4381,12790646.53
Monteirópolis,AL,7219,16289585.82
Montenegro,RS,62484,125201446.86
Montes Altos,MA,9183,14722118.9
Montes Claros,MG,385898,593939788.93
Montes Claros de Goiás,GO,8210,24759976.86
Montezuma,MG,7901,16028446.62
Montividiu,GO,11611,43759816.19
Monção,MA,32180,50153139.71
Monções,SP,2219,16921821.4
Morada Nova,CE,62287,93065671.23
Morada Nova de Minas,MG,8657,30294897.15
Moraújo,CE,8393,15780874.67
Moreilândia,PE,11246,31309808.29
Moreira Sales,PR,12800,22731123.02
Moreno,PE,59836,86058818.82
Mormaço,RS,2906,10767878.89
Morpará,BA,8987,13968407.39
Morretes,PR,16325,31318870.8
Morrinhos,CE,21561,34825629.4
Morrinhos,GO,43792,75494014.45
Morrinhos do Sul,RS,3225,10232081.89
Morro Agudo,SP,30991,92847883.45
Morro Agudo de Goiás,GO,2387,9894692.83
Morro Cabeça no Tempo,PI,4082,10641906.33
Morro Grande,SC,2928,10522564.51
Morro Redondo,RS,6488,14028815.28
Morro Reuter,RS,6008,14354785.17
Morro da Fumaça,SC,16888,32673375.35
Morro do Chapéu,BA,37326,57328066.39
Morro do Chapéu do Piauí,PI,6622,12486482.36
Morro do Pilar,MG,3421,15719998.58
Morros,MA,18544,30302804.77
Mortugaba,BA,12421,18518251.93
Morungaba,SP,12621,31064254.25
Mossoró,RN,280314,460859725.25
Mossâmedes,GO,4940,13850192.91
Mostardas,RS,12637,31702241.01
Motuca,SP,4534,16694660.1
Mozarlândia,GO,14360,30472680.89
Mucajaí,RR,15890,18872722.17
Mucambo,CE,14335,28382263.7
Mucugê,BA,10568,26830522.76
Mucuri,BA,39927,102962972.94
Mucurici,ES,5909,22072138.47
Muitos Capões,RS,3116,15070548.8
Muliterno,RS,1885,8757783.42
Mulungu,CE,12196,20752254.94
Mulungu,PB,9750,12582559.12
Mulungu do Morro,BA,12191,20873125.57
Mundo Novo,BA,26518,34100302.88
Mundo Novo,GO,6180,18582291.48
Mundo Novo,MS,17658,35033564.32
Munhoz,MG,6351,11930112.81
Munhoz de Melo,PR,3857,13719312.81
Muniz Ferreira,BA,7825,14117156.72
Muniz Freire,ES,19081,49330655.25
Muqui,ES,15438,28163810.32
Muquém de São Francisco,BA,11465,22598525.62
Muriaé,MG,105861,174834210.68
Muribeca,SE,7598,18192518.8
Murici,AL,28158,51224443.82
Murici dos Portelas,PI,8781,13458702.36
Muricilândia,TO,3356,8503214.08
Murutinga do Sul,SP,4375,13983265.06
Mutum,MG,27456,32335539.17
Mutunópolis,GO,3928,12307448.74
Mutuípe,BA,22928,32455137.35
Muzambinho,MG,21007,29784571.87
Muçum,RS,4970,12766363.11
Mário Campos,MG,14222,21221569.38
Mâncio Lima,AC,16410,25639595.6
Mãe d'Água,PB,4044,9570310.51
Mãe do Rio,PA,28636,47336687.69
Nacip Raydan,MG,3256,10459695.65
Nantes,SP,2905,14893874.92
Nanuque,MG,41876,56527619.21
Naque,MG,6708,11798667.43
Narandiba,SP,4564,24345870.3
Natal,RN,853928,1545841152.55
Natalândia,MG,3376,10883216.73
Natividade,RJ,15069,54229513.34
Natividade,TO,9268,12738118.13
Natividade da Serra,SP,6821,18170691.87
Natuba,PB,10439,17787455.98
Natércia,MG,4802,10743421.64
Navegantes,SC,68337,186138109.96
Naviraí,MS,49827,117993606.45
Nazareno,MG,8363,15034955.99
Nazarezinho,PB,7342,12253754.5
Nazaré,BA,29122,38662725.29
Nazaré,TO,4301,10115800.53
Nazaré Paulista,SP,17451,34732202.1
Nazaré da Mata,PE,31834,43746285.44
Nazaré do Piauí,PI,7300,11482888.01
Nazária,PI,8289,13799627.41
Nazário,GO,8421,14147311.9
Nepomuceno,MG,26725,43303042.51
Nerópolis,GO,26364,66578714.54
Neves Paulista,SP,9017,19442460.1
Neópolis,SE,18964,30444015.75
Nhamundá,AM,19792,33448604.35
Nhandeara,SP,11203,24529983.94
Nicolau Vergueiro,RS,1763,11431131.02
Nilo Peçanha,BA,13555,26530780.64
Nilópolis,RJ,158288,224226010.93
Nina Rodrigues,MA,13465,19275748.52
Ninheira,MG,10219,20347065.64
Nioaque,MS,14379,33357232.95
Nipoã,SP,4669,14145416.03
Niquelândia,GO,44540,105319903.96
Niterói,RJ,494200,1523572125.57
Nobres,MT,15002,38865658.67
Nonoai,RS,12348,26323956.35
Nordestina,BA,13216,26984736.52
Normandia,RR,9754,15732484.13
Nortelândia,MT,6209,14903538.53
Nossa Senhora Aparecida,SE,8788,14526775.51
Nossa Senhora da Glória,SE,34799,49064046.58
Nossa Senhora das Dores,SE,25839,35328761.48
Nossa Senhora das Graças,PR,4053,9129603.64
Nossa Senhora de Lourdes,SE,6456,11855419.29
Nossa Senhora de Nazaré,PI,4696,9561086.45
Nossa Senhora do Livramento,MT,11497,20127450.1
Nossa Senhora do Socorro,SE,172547,196501561.32
Nossa Senhora dos Remédios,PI,8419,17693896.87
Nova Aliança,SP,6367,16978350.04
Nova Aliança do Ivaí,PR,1500,7105298.19
Nova Alvorada,RS,3376,13543922.97
Nova Alvorada do Sul,MS,18503,50390645.22
Nova América,GO,2342,9084702.68
Nova América da Colina,PR,3560,10417006.07
Nova Andradina,MS,49104,94195673.98
Nova Araçá,RS,4289,15568505.27
Nova Aurora,GO,2155,7338194.5
Nova Aurora,PR,11786,25883251.28
Nova Bandeirantes,MT,12946,22356971.42
Nova Bassano,RS,9343,23223325.62
Nova Belém,MG,3662,10838263.98
Nova Boa Vista,RS,1978,9978698.45
Nova Brasilândia,MT,4252,11199874.7
Nova Brasilândia D'Oeste,RO,21427,31499883.36
Nova Bréscia,RS,3311,14351097.34
Nova Campina,SP,9100,22631815.47
Nova Canaã,BA,17013,26030298.08
Nova Canaã Paulista,SP,2087,10345910.24
Nova Canaã do Norte,MT,12295,31078946.69
Nova Candelária,RS,2822,11466842.76
Nova Cantu,PR,7023,13194053.55
Nova Castilho,SP,1195,10098203.93
Nova Colinas,MA,5120,11064272.33
Nova Crixás,GO,12488,34195112.98
Nova Cruz,RN,37079,40967257.04
Nova Era,MG,18002,39176971.31
Nova Erechim,SC,4577,13557370.85
Nova Esperança,PR,27678,46024505.28
Nova Esperança do Piriá,PA,20528,35931141.08
Nova Esperança do Sudoeste,PR,5218,13806051.99
Nova Esperança do Sul,RS,4962,11984192.48
Nova Europa,SP,10108,25454653.45
Nova Floresta,PB,10661,15507672.54
Nova Friburgo,RJ,184122,328937366.64
Nova Fátima,BA,8083,13602592.62
Nova Fátima,PR,8363,15356110.63
Nova Glória,GO,8633,12592198.73
Nova Granada,SP,20346,33774043.14
Nova Guarita,MT,4731,11182338.04
Nova Guataporanga,SP,2270,9868544.08
Nova Hartz,RS,19620,39642952.81
Nova Ibiá,BA,6913,15288287.65
Nova Iguaçu,RJ,804815,1157502920.38
Nova Iguaçu de Goiás,GO,2926,9639508.31
Nova Independência,SP,3423,18054630.97
Nova Iorque,MA,4599,14401979.42
Nova Ipixuna,PA,15422,28069069.65
Nova Itaberaba,SC,4338,13476064.77
Nova Itarana,BA,8058,14687673.92
Nova Lacerda,MT,5824,19870003.27
Nova Laranjeiras,PR,12010,24503075.57
Nova Lima,MG,87391,505452818.22
Nova Londrina,PR,13452,27069841.98
Nova Luzitânia,SP,3728,12850401.17
Nova Mamoré,RO,26227,36070430.1
Nova Marilândia,MT,3052,12140061.8
Nova Maringá,MT,7323,17917077.64
Nova Monte Verde,MT,8444,16721326.46
Nova Mutum,MT,36659,95289245.37
Nova Módica,MG,3830,9744896.62
Nova Nazaré,MT,3318,12866240.48
Nova Odessa,SP,55229,138752611.2
Nova Olinda,CE,14908,29821856.19
Nova Olinda,PB,6058,11873507.5
Nova Olinda,TO,11301,16390250.76
Nova Olinda do Norte,AM,33829,46524594.59
Nova Olímpia,MT,18437,38968439.55
Nova Olímpia,PR,5733,15437101.89
Nova Palma,RS,6569,16530610.53
Nova Palmeira,PB,4647,11219968.47
Nova Petrópolis,RS,20126,46560769.33
Nova Ponte,MG,13988,40912141.57
Nova Porteirinha,MG,7623,11240757.8
Nova Prata,RS,24495,55884236.24
Nova Prata do Iguaçu,PR,10698,23490484.7
Nova Pádua,RS,2545,10069560.58
Nova Ramada,RS,2466,10433541.9
Nova Redenção,BA,8527,14866065.01
Nova Resende,MG,16191,25647798.17
Nova Roma,GO,3504,10730799.75
Nova Roma do Sul,RS,3520,14250803.59
Nova Rosalândia,TO,4018,7443679.55
Nova Russas,CE,31692,46299295.57
Nova Santa Bárbara,PR,4106,10332712.1
Nova Santa Helena,MT,3534,11761621.75
Nova Santa Rita,PI,4264,9097973.44
Nova Santa Rita,RS,24859,52932229.38
Nova Santa Rosa,PR,7994,17751548.77
Nova Serrana,MG,84550,121313526.75
Nova Soure,BA,25725,42328707.73
Nova Tebas,PR,7100,14553876.44
Nova Timboteua,PA,14305,23116588.27
Nova Trento,SC,13135,27525553.06
Nova Ubiratã,MT,10207,30525621.09
Nova União,MG,5752,9225038.76
Nova União,RO,7883,13892718.44
Nova Veneza,GO,8806,16849069.13
Nova Veneza,SC,14098,31141834.93
Nova Venécia,ES,49564,89379110.11
Nova Viçosa,BA,42265,67988936.72
Nova Xavantina,MT,20143,34395592.01
Novais,SP,5089,12987551.02
Novo Airão,AM,16719,25051662.41
Novo Aripuanã,AM,23486,30555305.96
Novo Barreiro,RS,4138,11825660.0
Novo Brasil,GO,3445,10864561.71
Novo Cabrais,RS,4045,13190616.92
Novo Cruzeiro,MG,31715,40847161.32
Novo Gama,GO,103085,92870906.18
Novo Hamburgo,RS,247781,645350644.48
Novo Horizonte,BA,11786,20729366.05
Novo Horizonte,SC,2681,9596363.15
Novo Horizonte,SP,38828,84115709.25
Novo Horizonte do Norte,MT,3815,10297789.88
Novo Horizonte do Oeste,RO,10515,14777959.49
Novo Horizonte do Sul,MS,4581,16270723.0
Novo Itacolomi,PR,2906,8858526.41
Novo Jardim,TO,2600,6896333.39
Novo Lino,AL,12479,25263821.19
Novo Machado,RS,3907,10394466.54
Novo Mundo,MT,7979,16686460.81
Novo Oriente,CE,28075,48432710.38
Novo Oriente de Minas,MG,10738,17384609.44
Novo Oriente do Piauí,PI,6505,11318195.17
Novo Progresso,PA,25203,55370129.08
Novo Repartimento,PA,67652,128684832.81
Novo Santo Antônio,MT,2232,10653859.65
Novo Santo Antônio,PI,3354,7615122.56
Novo São Joaquim,MT,5611,16698399.44
Novo Tiradentes,RS,2330,10344849.37
Novo Xingu,RS,1801,9386600.21
Novorizonte,MG,5196,11522471.27
Nuporanga,SP,7164,28161322.08
Não-Me-Toque,RS,16785,49608249.38
Nísia Floresta,RN,25800,41412559.06
Ocara,CE,24829,45302451.0
Ocauçu,SP,4296,13259865.05
Oeiras,PI,36195,51708798.87
Oeiras do Pará,PA,30088,50552781.31
Olaria,MG,1957,9205120.61
Olho D'Água do Piauí,PI,2698,6960030.03
Olho d'Água,PB,6790,12382262.31
Olho d'Água Grande,AL,5159,16749186.69
Olho d'Água das Cunhãs,MA,18934,1.0
Olho d'Água das Flores,AL,21499,33340763.7
Olho d'Água do Casado,AL,9114,21662814.58
Olho-d'Água do Borges,RN,4391,12787748.19
Olhos-d'Água,MG,5659,13504832.96
Olinda,PE,388127,482584028.1
Olinda Nova do Maranhão,MA,13911,24525179.39
Olindina,BA,26620,39358964.24
Olivedos,PB,3804,9013364.9
Oliveira,MG,41181,69828147.64
Oliveira de Fátima,TO,1085,6666935.42
Oliveira dos Brejinhos,BA,22738,38414147.65
Olivença,AL,11594,21788185.0
Olímpia,SP,52650,140869241.18
Olímpio Noronha,MG,2677,10005710.72
Onda Verde,SP,4128,15650966.56
Onça de Pitangui,MG,3164,9975839.51
Oratórios,MG,4660,14025969.36
Oriente,SP,6366,13214539.87
Orindiúva,SP,6244,27006258.42
Oriximiná,PA,66821,143448407.43
Orizona,GO,15024,33312232.26
Orizânia,MG,7701,14230482.99
Orleans,SC,22171,45297247.79
Orlândia,SP,42020,102932045.28
Orobó,PE,23552,38103468.72
Orocó,PE,14071,29276194.7
Ortigueira,PR,23646,38343109.79
Orós,CE,21503,34072043.06
Osasco,SP,691652,1627490205.13
Oscar Bressane,SP,2614,12369841.15
Osvaldo Cruz,SP,32229,61655642.48
Osório,RS,43256,166956103.47
Otacílio Costa,SC,17349,44988552.24
Ouricuri,PE,67689,95308733.34
Ourilândia do Norte,PA,29547,74748659.34
Ourinhos,SP,108674,272955250.76
Ourizona,PR,3482,12406889.28
Ouriçangas,BA,8804,15088603.48
Ouro,SC,7436,14202262.78
Ouro Branco,AL,11409,22211387.97
Ouro Branco,MG,37492,100143064.94
Ouro Branco,RN,4860,9736323.87
Ouro Fino,MG,33031,41416117.12
Ouro Preto,MG,73349,282881013.39
Ouro Preto do Oeste,RO,40099,65299959.0
Ouro Velho,PB,3003,7950785.1
Ouro Verde,SC,2281,10676886.18
Ouro Verde,SP,8216,19331720.44
Ouro Verde de Goiás,GO,4062,11479953.23
Ouro Verde de Minas,MG,6148,11271397.48
Ouro Verde do Oeste,PR,5927,13886150.21
Ouroeste,SP,9215,55732657.01
Ourolândia,BA,17603,27964859.4
Ourém,PA,16854,24367090.42
Ouvidor,GO,5933,28108385.95
Pacaembu,SP,13829,27152248.19
Pacajus,CE,66510,82654631.17
Pacajá,PA,43057,66168276.48
Pacaraima,RR,11423,18773557.89
Pacatuba,CE,77723,87705755.38
Pacatuba,SE,13896,29328831.05
Pacoti,CE,11857,20955566.81
Pacujá,CE,6131,15545346.78
Padre Bernardo,GO,30059,53299372.5
Padre Carvalho,MG,6154,11607655.59
Padre Marcos,PI,6735,12486953.77
Padre Paraíso,MG,19744,30785544.94
Paes Landim,PI,4077,8828095.89
Pai Pedro,MG,6137,13880780.89
Paial,SC,1698,9166726.16
Paim Filho,RS,4276,13020091.73
Paineiras,MG,4708,12970382.06
Painel,SC,2385,8525393.01
Pains,MG,8307,21951321.48
Paiva,MG,1590,7614838.92
Paiçandu,PR,38385,44000473.16
Pajeú do Piauí,PI,3460,7782884.52
Palestina,AL,4934,14705973.19
Palestina,SP,11904,30456686.94
Palestina de Goiás,GO,3482,8908398.76
Palhano,CE,9126,16975970.87
Palhoça,SC,150623,253450828.35
Palma,MG,6738,11626416.46
Palma Sola,SC,7747,19354375.45
Palmares,PE,61731,119299089.52
Palmares Paulista,SP,11922,16018198.76
Palmares do Sul,RS,11372,28683028.5
Palmas,PR,46294,68491798.31
Palmas,TO,257904,598128141.79
Palmas de Monte Alto,BA,22260,33088147.56
Palmeira,PR,33469,63700794.18
Palmeira,SC,2488,10291666.29
Palmeira d'Oeste,SP,9700,19851687.5
Palmeira das Missões,RS,35120,64158463.6
Palmeira do Piauí,PI,4997,10304132.2
Palmeira dos Índios,AL,73532,120470456.17
Palmeirais,PI,14090,21851576.13
Palmeirante,TO,5432,9986312.96
Palmeiras,BA,9122,17432441.99
Palmeiras de Goiás,GO,25437,50677692.73
Palmeiras do Tocantins,TO,6180,9111083.78
Palmeirina,PE,8191,21614838.17
Palmeirândia,MA,19133,31537919.17
Palmeirópolis,TO,7600,13112616.15
Palmelo,GO,2407,8175811.52
Palminópolis,GO,3656,11693634.51
Palmital,PR,14780,22867694.02
Palmital,SP,21987,57465526.87
Palmitinho,RS,7156,17228066.56
Palmitos,SC,16270,34182417.74
Palmácia,CE,12624,21073010.19
Palmópolis,MG,6674,11032683.03
Palotina,PR,30327,72549291.49
Panambi,RS,40439,94377765.74
Panamá,GO,2733,9554844.81
Pancas,ES,23125,38170984.11
Panelas,PE,26515,49628279.39
Panorama,SP,15288,28541576.2
Pantano Grande,RS,10029,21642359.65
Papagaios,MG,15007,23782251.19
Papanduva,SC,18568,34653291.66
Paquetá,PI,3919,9880255.01
Paracambi,RJ,48705,110873067.94
Paracatu,MG,89530,170822495.73
Paracuru,CE,32919,64785306.35
Paragominas,PA,103775,256231355.46
Paraguaçu,MG,21164,31915509.51
Paraguaçu Paulista,SP,44310,106677346.54
Paraibano,MA,20636,30449509.46
Paraibuna,SP,18040,53722139.1
Paraipaba,CE,31413,45375069.19
Paraisópolis,MG,20410,33097892.86
Parambu,CE,31462,55082604.09
Paramirim,BA,21838,40267183.96
Paramoti,CE,11517,23667744.17
Paranacity,PR,10863,19820517.3
Paranaguá,PR,148232,244545607.46
Paranaiguara,GO,9593,20195375.29
Paranapanema,SP,18965,54183003.9
Paranapoema,PR,2980,9885363.29
Paranapuã,SP,3983,17135461.7
Paranatama,PE,11399,
Paranatinga,MT,20383,45527383.36
Paranavaí,PR,85643,149432659.59
Paranaíba,MS,41227,87422127.45
Paranaíta,MT,10801,40000710.32
Paranhos,MS,13123,32978361.62
Paraná,RN,4165,9748375.91
Paranã,TO,10585,25702621.33
Paraopeba,MG,23762,35370344.03
Parapuã,SP,11124,25850562.2
Parari,PB,1823,8008064.0
Paratinga,BA,32258,46068789.22
Paraty,RJ,39434,162985037.0
Parauapebas,PA,176582,1114120892.32
Parazinho,RN,5139,18369445.7
Paraí,RS,7203,19526267.14
Paraíba do Sul,RJ,41955,90751711.0
Paraíso,SC,3915,11279000.11
Paraíso,SP,6207,21933075.93
Paraíso das Águas,MS,4942,17008156.51
Paraíso do Norte,PR,12661,24361709.85
Paraíso do Sul,RS,7615,14579812.58
Paraíso do Tocantins,TO,47724,50038946.99
Paraú,RN,3924,9132117.55
Paraúna,GO,11175,40643184.6
Pardinho,SP,5979,25278715.59
Pareci Novo,RS,3686,14326001.45
Parecis,RO,5477,12860582.3
Parelhas,RN,21288,30920013.4
Pariconha,AL,10674,21759168.11
Parintins,AM,109225,149631804.33
Paripiranga,BA,29654,36398305.05
Paripueira,AL,12474,19189191.52
Pariquera-Açu,SP,19239,31689294.87
Parisi,SP,2118,11172377.98
Parnaguá,PI,10494,19866780.19
Parnamirim,PE,20990,45536195.35
Parnamirim,RN,229414,338204043.92
Parnarama,MA,33883,51359295.06
Parnaíba,PI,148832,242901651.71
Parobé,RS,54599,96298957.83
