Municipio,UF,População,Total Despesa
Aparecida de Goiânia,GO,500619,693803727.17
Aparecida do Rio Doce,GO,2501,11969189.77
Aparecida do Rio Negro,TO,4504,9017798.19
Aparecida do Taboado,MS,23733,62365368.2
Apiacá,ES,7916,18757616.02
Apiacás,MT,9094,18833132.73
Apiaí,SP,25491,51751043.4
Apicum-Açu,MA,17474,30546520.29
Apiúna,SC,10099,25245039.44
Apodi,RN,36049,51215800.22
Aporá,BA,18976,27600695.22
Aporé,GO,4008,18604768.63
Apuarema,BA,7795,18174459.26
Apucarana,PR,128058,186524385.56
Apuiarés,CE,14397,21966814.4
Apuí,AM,19860,31753718.75
Aquidabã,SE,21023,28424044.81
Aquidauana,MS,46830,92173468.14
Aquiraz,CE,76186,135137585.3
Arabutã,SC,4270,14436244.75
Aracaju,SE,614577,1361251122.32
Aracati,CE,71749,109714098.66
Aracatu,BA,14232,23533700.31
Araci,BA,55655,85557404.86
Aracitaba,MG,2113,8431783.57
Aracoiaba,CE,25988,47001359.14
Aracruz,ES,91562,301246427.13
Aragarças,GO,19267,33997473.51
Aragoiânia,GO,9108,14079771.59
Aragominas,TO,5958,9438287.23
Araguacema,TO,6716,11287554.17
Araguaiana,MT,3133,9148423.37
Araguainha,MT,1024,7458038.64
Araguanã,MA,14658,19845341.32
Araguanã,TO,5379,10046964.11
Araguapaz,GO,7772,14746979.15
Araguari,MG,114970,196181870.24
Araguatins,TO,33524,42893931.78
Araguaçu,TO,8868,14272294.86
Araguaína,TO,164093,236456518.14
Araioses,MA,44317,52212680.01
Aral Moreira,MS,11014,31730000.89
Aramari,BA,11157,17283764.97
Arambaré,RS,3778,18556601.75
Arame,MA,31867,46902941.79
Aramina,SP,5416,16881226.42
Arandu,SP,6334,18277416.3
Arantina,MG,2888,8282899.29
Arapeí,SP,2541,9979957.65
Arapiraca,AL,227640,403023022.82
Arapoema,TO,6844,11287984.92
Araponga,MG,8454,13228278.47
Arapongas,PR,112198,155404028.86
Araporã,MG,6527,40818400.01
Arapoti,PR,27170,44586717.56
Araputanga,MT,15803,30308853.71
Arapuá,MG,2866,9789209.73
Arapuã,PR,3513,9938688.12
Araquari,SC,29593,65665410.49
Arara,PB,13157,20137618.95
Araranguá,SC,64405,98912476.18
Araraquara,SP,222036,620052742.9
Araras,SP,126391,362011774.98
Ararendá,CE,10723,21278864.46
Arari,MA,28986,1.0
Araricá,RS,5195,14793209.19
Araripe,CE,21170,44338002.04
Araripina,PE,80577,109611843.27
